sample,HanniganGD_2017.metaphlan_bugs_list.stool:MG100155,HanniganGD_2017.metaphlan_bugs_list.stool:MG100156,HanniganGD_2017.metaphlan_bugs_list.stool:MG100157,HanniganGD_2017.metaphlan_bugs_list.stool:MG100158,HanniganGD_2017.metaphlan_bugs_list.stool:MG100159,HanniganGD_2017.metaphlan_bugs_list.stool:MG100161,HanniganGD_2017.metaphlan_bugs_list.stool:MG100162,HanniganGD_2017.metaphlan_bugs_list.stool:MG100163,HanniganGD_2017.metaphlan_bugs_list.stool:MG100164,HanniganGD_2017.metaphlan_bugs_list.stool:MG100165,HanniganGD_2017.metaphlan_bugs_list.stool:MG100166,HanniganGD_2017.metaphlan_bugs_list.stool:MG100167,HanniganGD_2017.metaphlan_bugs_list.stool:MG100168,HanniganGD_2017.metaphlan_bugs_list.stool:MG100169,HanniganGD_2017.metaphlan_bugs_list.stool:MG100170,HanniganGD_2017.metaphlan_bugs_list.stool:MG100171,HanniganGD_2017.metaphlan_bugs_list.stool:MG100172,HanniganGD_2017.metaphlan_bugs_list.stool:MG100173,HanniganGD_2017.metaphlan_bugs_list.stool:MG100174,HanniganGD_2017.metaphlan_bugs_list.stool:MG100175,HanniganGD_2017.metaphlan_bugs_list.stool:MG100176,HanniganGD_2017.metaphlan_bugs_list.stool:MG100177,HanniganGD_2017.metaphlan_bugs_list.stool:MG100178,HanniganGD_2017.metaphlan_bugs_list.stool:MG100179,HanniganGD_2017.metaphlan_bugs_list.stool:MG100180
k__Bacteria,100,99.75295,100,100,100,100,100,100,94.5405,100,100,98.88742,100,96.81717,99.93698,100,100,100,93.62637,99.78328,100,100,99.90336,93.99305,99.8393
k__Bacteria|p__Firmicutes,72.92345,74.74317,30.61008,73.61672,95.79031,56.64708,55.20456,51.28291,22.652,37.74521,60.72071,82.74326,17.53493,36.2725,81.11221,85.29471,89.19379,81.23113,28.61115,66.86421,88.90058,89.40678,66.75269,70.57717,86.39097
k__Bacteria|p__Actinobacteria,27.06698,18.87425,68.65152,2.41824,3.20613,28.35128,36.52724,35.1396,1.73044,0.3032,4.07192,11.59925,74.45812,46.06045,9.33535,1.10605,10.48417,13.40964,1.81948,32.34919,5.10425,9.17669,28.87259,5.42579,8.86069
k__Bacteria|p__Bacteroidetes,0,0.08235,0.7384,15.27377,1.00357,5.97026,0.72344,0,1.01245,61.56841,3.79022,4.45183,0.35909,10.46712,9.27866,7.15532,0,0.39924,2.40175,0.13387,5.22919,0.69715,1.9373,9.83951,0.5754
k__Bacteria|p__Proteobacteria,0,0,0,8.64181,0,9.03138,0.58088,13.47663,0.96797,0.38317,2.14457,0.09308,7.57699,0.12881,0.20493,0,0.30077,4.88793,0.72519,0.12081,0.76597,0.71937,1.54411,0.18525,1.50161
k__Bacteria|p__Firmicutes|c__Clostridia,62.90501,54.57967,20.7204,70.17462,88.46426,50.35452,48.42678,33.02805,22.04175,28.49083,59.37496,78.92227,14.44225,32.72805,79.89493,84.15375,83.23916,42.57494,27.90349,64.36663,86.82903,88.29794,65.40062,66.71065,74.9902
k__Bacteria|p__Actinobacteria|c__Actinobacteria,27.06698,18.87425,68.65152,2.41824,3.20613,28.35128,36.52724,35.1396,1.73044,0.3032,4.07192,11.59925,74.45812,46.06045,9.33535,1.10605,10.48417,13.40964,1.81948,32.34919,5.10425,9.17669,28.87259,5.42579,8.86069
k__Bacteria|p__Bacteroidetes|c__Bacteroidia,0,0.08235,0.7384,15.27377,1.00357,5.97026,0.72344,0,1.01245,61.56841,3.79022,4.45183,0.35909,10.46712,9.27866,7.15532,0,0.39924,2.40175,0.13387,5.22919,0.69715,1.9373,9.83951,0.5754
k__Bacteria|p__Firmicutes|c__Negativicutes,0.31704,0.19394,0,0,0,5.04786,6.69233,0.05818,0,8.73902,0,0.05351,0.95409,0.05902,0.16904,0.26184,0,0.32606,0,0.03082,0,0.14658,0,0,0.14431
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria,0,0,0,8.64181,0,8.98827,0.4755,13.47663,0.88739,0,2.14457,0.09308,7.57699,0.12881,0.19281,0,0.30077,4.88793,0.60145,0.12081,0.76597,0.71937,0.09687,0.18525,1.23692
k__Bacteria|p__Firmicutes|c__Erysipelotrichia,9.11044,19.5807,1.07725,2.68412,3.30064,0.11207,0,0,0.5028,0.0265,0.34101,1.00534,1.44309,0.01908,0,0,5.07815,11.22355,0.57854,0.31793,0.33249,0.06183,0.44545,1.87171,4.66697
k__Bacteria|p__Firmicutes|c__Bacilli,0.59096,0.38887,8.81244,0.75798,4.02541,1.13264,0.08544,18.19668,0.10744,0.48886,1.00474,2.76214,0.6955,3.46636,1.04824,0.87912,0.87647,27.10658,0.12912,2.14883,1.73906,0.90044,0.90662,1.99481,6.58949
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales,62.90501,54.57967,20.7204,70.17462,88.46426,50.35452,48.42678,33.02805,22.04175,28.49083,59.37496,78.92227,14.44225,32.72805,79.89493,84.15375,83.23916,42.57494,27.90349,64.36663,86.82903,88.29794,65.40062,66.71065,74.9902
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales,21.76288,3.18233,13.95599,1.5545,2.95737,14.49859,21.86385,0,1.72648,0.22314,3.99527,6.66914,0.93129,7.42172,2.87456,1.10605,10.16742,7.92505,1.81948,13.28866,5.10425,2.72775,20.47286,5.39463,7.0237
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales,0,0.08235,0.7384,15.27377,1.00357,5.97026,0.72344,0,1.01245,61.56841,3.79022,4.45183,0.35909,10.46712,9.27866,7.15532,0,0.39924,2.40175,0.13387,5.22919,0.69715,1.9373,9.83951,0.5754
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales,0.31704,0.19394,0,0,0,5.04786,6.69233,0.05818,0,8.73902,0,0.05351,0.95409,0.05902,0.16904,0.26184,0,0.32606,0,0.03082,0,0.14658,0,0,0.14431
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales,0,0,0,8.64181,0,8.98827,0.4755,13.47663,0.88739,0,2.14457,0.07395,7.57699,0.12881,0,0,0.0655,4.88793,0.60145,0.12081,0.76597,0.71937,0.09687,0.18525,1.23189
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales,9.11044,19.5807,1.07725,2.68412,3.30064,0.11207,0,0,0.5028,0.0265,0.34101,1.00534,1.44309,0.01908,0,0,5.07815,11.22355,0.57854,0.31793,0.33249,0.06183,0.44545,1.87171,4.66697
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales,0.59096,0.38887,8.81244,0.75798,4.02541,1.13264,0.08544,18.19668,0.10744,0.48886,1.00474,2.76214,0.6955,3.46636,1.04824,0.87912,0.87647,27.10658,0.12912,2.14883,1.73906,0.90044,0.90662,1.99481,6.58699
