sample,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142087,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142088,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142089,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142097,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142098,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142099,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142103,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142104,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142105,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142100,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142106,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142107,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142102,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142110,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142072,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142073,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142074,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142111,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142112,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142113,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142114,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142115,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142116,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142117,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142118,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142119,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142075,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142120,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142121,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142122,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142076,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142123,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142124,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142125,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142126,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142127,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142128,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142129,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142130,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142131,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142132,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142133,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142134,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142135,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142136,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142137,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142138,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142139,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142140,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142141,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142142,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142143,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142144,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142145,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142146,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142147,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142148,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142149,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142150,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142151,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142152,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142153,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142077,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142078,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142210,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142211,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142218,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142212,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142219,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142213,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142220,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142214,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142215,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142217,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142221,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142216,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142223,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142409,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142448,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142408,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142407,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142406,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142405,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142404,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142402,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142401,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142400,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142398,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142397,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142225,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142395,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142452,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142451,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142226,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142391,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142390,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142388,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142387,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142386,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142385,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142384,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142383,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142382,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142381,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142380,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142379,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142472,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142378,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142377,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142376,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142375,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142227,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142228,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142229,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142230,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142231,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142232,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142233,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142234,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142235,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142236,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142222,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142334,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142335,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142333,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142329,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142328,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142339,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142341,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142337,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142327,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142330,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142331,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142326,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142332,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142325,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142336,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142338,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142340,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142342,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142343,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142344,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142345,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142346,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142347,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142348,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142349,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142350,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142351,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142352,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142353,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142354,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142355,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142356,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142357,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142358,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142359,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142361,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142362,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142363,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142364,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142365,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142366,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142367,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142368,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142369,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142370,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142371,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142372,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142373,JieZ_2017.metaphlan_bugs_list.stool:SAMEA104142374
k__Bacteria,99.86199,99.94874,99.9928,99.98016,99.9498,99.76178,99.99436,99.9717,99.98154,99.98967,99.97383,99.96684,99.98325,99.99227,99.99426,99.98055,99.9712,99.98354,99.81618,99.09336,99.97203,99.99463,99.2418,99.99315,99.75991,99.99445,99.46736,99.9915,99.97426,99.98884,99.96511,99.98249,99.99318,100,99.97967,99.89399,99.9978,99.98627,100,99.99356,99.9779,99.9905,99.952,99.96636,99.99401,99.99276,99.9923,99.99127,99.99022,99.9714,99.96153,93.0778,99.99411,99.63586,99.99625,99.99403,99.98046,99.99669,99.98299,99.97111,99.98139,99.99027,99.99063,99.9795,100,100,100,99.88077,99.98739,99.96307,99.97106,99.94184,99.99734,99.23819,100,74.08105,100,100,100,99.96712,100,100,100,100,94.27535,99.9897,100,99.93974,99.9959,100,99.95049,100,100,99.87211,100,100,100,100,100,99.56317,100,100,100,100,100,100,99.99519,100,100,100,100,99.97565,99.99836,99.97719,99.6224,99.83389,99.98964,100,100,99.98794,99.99426,99.99216,98.63718,100,100,100,100,99.99093,99.99264,99.98951,99.99149,72.56675,100,98.60535,100,99.9971,100,95.73968,99.95597,100,99.99669,99.9821,100,99.84876,100,99.18094,98.88937,99.3789,98.02289,99.21639,98.33165,98.80692,99.99138,99.47613,99.41507,99.15418,98.8808,98.98606,99.28783,99.99729,96.86144,98.51943,100,99.09071,98.61499,99.30481,98.2058,99.11322,99.02816,98.67709,100
k__Viruses,0.13801,0.05126,0.0072,0.01984,0.04504,0.23822,0.00564,0.0283,0.01846,0.00706,0.02617,0.03227,0.01675,0.00592,0.00574,0.01945,0.0288,0.01646,0.18382,0.90664,0.02797,0.00537,0.03,0.00685,0.24009,0.00555,0.05701,0.0085,0.02574,0.01116,0.03489,0.01751,0.00682,0,0.02033,0.01933,0.0022,0.01373,0,0.00644,0.0221,0.00747,0.048,0.03364,0.00599,0.00724,0.0077,0.00873,0.00978,0.0286,0.03791,6.9222,0.00589,0.02042,0.00375,0.00597,0.01717,0.00331,0.01701,0.02889,0.01861,0.00973,0.00937,0.0205,0,0,0,0.11923,0.01261,0.03693,0.02894,0.05816,0.00266,0,0,25.91895,0,0,0,0.03288,0,0,0,0,5.60558,0,0,0,0,0,0.04951,0,0,0.12789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02435,0.00164,0.02281,0.34262,0.16611,0.00793,0,0,0.01206,0.00417,0.00573,0,0,0,0,0,0.00907,0.00736,0.01049,0.00851,27.43325,0,1.39465,0,0.0029,0,4.26032,0.04403,0,0.00331,0.0179,0,0.15124,0,0.81906,0.87669,0.6211,1.38539,0.78361,1.66835,1.19308,0.00862,0.52387,0.58229,0.83478,1.09763,1.00472,0.71217,0,1.92753,1.48057,0,0.9064,1.38501,0.69519,1.20812,0.88082,0.96774,0.96899,0
k__Bacteria|p__Firmicutes,30.7133,17.31936,64.79149,40.01532,57.37999,36.66026,62.17011,74.01455,84.87348,24.05005,63.72787,14.59442,72.64402,62.53278,49.23852,74.49719,71.33868,56.17342,52.39,65.27805,43.688,54.20684,60.19629,51.88238,54.3558,37.71007,59.57738,82.98056,12.25297,68.14289,40.59251,56.58904,74.85285,70.74552,78.08941,45.9987,33.62334,40.69815,45.24249,70.92168,26.91395,51.88396,57.77937,43.53634,70.65014,39.6137,33.57616,74.4438,64.65388,28.39317,46.64579,36.0174,79.72764,33.42508,56.83755,55.37931,31.43197,80.40773,26.32746,66.09271,74.77246,34.47578,50.06787,80.56219,56.00356,43.87493,53.84089,12.41049,24.97389,39.09472,56.77299,39.59307,54.8714,46.90204,17.35682,16.63812,25.18495,47.92939,39.09495,48.66798,54.27629,53.53993,25.42472,52.82942,42.25148,37.92103,29.53088,53.53819,34.98095,14.45853,22.39225,40.07159,79.64816,50.67331,37.88121,17.09095,60.9946,18.29789,24.88975,71.89863,49.68159,7.86618,41.28142,73.57601,35.77163,51.92714,71.04143,31.25782,26.12,24.87523,38.99095,46.84088,40.98751,59.28604,35.36271,40.42264,46.86391,42.43542,32.20198,37.29214,45.21818,31.09769,42.61973,38.3656,42.26304,29.84189,28.56591,37.13954,30.12793,20.40849,66.79524,26.80208,46.55602,30.86617,39.83441,14.87839,69.4437,15.46979,28.91159,18.5689,46.64172,11.4408,23.04312,10.78426,51.18203,10.9053,13.35558,23.49709,40.18793,22.91438,40.64321,12.55689,21.92445,5.88081,45.25972,18.29223,15.34069,32.23063,25.40135,27.68918,10.03384,22.47647,63.92798,22.0655,30.21691,29.39523,38.72579,15.85596,16.06415,29.64743,37.36523
k__Bacteria|p__Bacteroidetes,39.15682,57.86883,26.33954,54.25766,39.05803,60.35737,33.57205,20.9151,1.63136,65.11482,10.64062,75.14385,16.97702,34.52056,48.8242,8.82176,26.22534,38.81827,35.67751,30.82719,54.09229,40.00226,37.52008,34.95755,16.60944,59.4279,32.80246,7.70787,53.48414,27.92173,53.71359,40.23412,21.86039,25.2187,9.0749,34.67595,56.15985,52.20848,52.60657,20.358,70.71602,32.73679,35.39632,53.86139,28.38104,55.61188,54.74697,20.16051,22.06005,66.88527,35.06235,37.52166,18.21354,64.72959,17.97209,41.66184,53.87364,9.60837,49.3537,28.4436,23.20295,59.42684,32.62654,13.74536,31.85834,50.39113,36.63444,83.2597,57.24851,48.94947,36.87937,55.69229,29.53191,18.16709,79.83818,33.22266,59.47131,48.23584,56.04403,38.57031,40.50957,42.49417,51.32729,31.18984,37.89065,57.98951,64.62371,38.95781,54.88529,38.76017,53.45179,58.40185,14.88477,20.64818,57.01497,39.54033,34.43544,77.34238,68.02277,20.55027,46.36807,57.4328,51.75697,17.82603,54.32885,47.24344,22.54037,60.14491,71.274,69.92448,57.47852,50.45871,50.02616,35.53603,45.98046,46.81557,34.47053,42.95348,46.75167,50.67079,32.80006,63.3686,53.24554,49.89646,47.77751,64.45517,68.29877,56.73682,66.79401,70.37263,30.73668,42.91467,51.49433,64.9041,51.01061,80.87191,23.50186,73.259,68.33816,75.90286,50.7226,80.97884,75.89393,77.54497,43.38348,66.83212,83.47625,67.10368,51.23593,74.2257,56.02504,82.17147,70.18733,89.54033,49.3645,79.32906,83.13144,49.30101,69.56271,55.81688,54.47184,64.66978,19.44695,61.18049,65.88477,51.79244,58.50689,53.68808,78.39995,65.81958,60.77969
k__Bacteria|p__Proteobacteria,1.4615,0.99874,0.93386,0.85968,2.60518,1.90203,0.83357,2.17684,0.41682,2.95309,18.60872,3.67917,1.88754,1.66734,1.1014,9.19405,0.93253,1.29316,9.2238,2.601,1.70407,1.88177,1.0929,1.72369,2.11601,1.87798,2.7826,0.8272,1.55038,1.72098,4.97076,1.9282,0.82912,0.62221,0.09548,6.59529,2.48212,2.87098,0.40979,2.25588,0.46334,9.30463,3.58831,0.99759,0.25283,0.82348,7.28181,3.4024,0.98439,1.65386,0.563,15.71397,0.5682,0.69326,3.0857,2.62655,1.12675,2.03515,22.60481,1.33576,0.31393,3.65295,7.35764,5.19853,10.87556,2.6463,2.72551,3.23284,12.80458,4.02835,4.72683,3.57029,6.09403,31.81643,2.62829,22.17409,8.33459,3.10609,0.98428,12.03606,0.94389,2.51941,6.01419,11.71868,12.51405,3.64,2.57636,0.95574,2.52821,45.74403,23.39542,1.31565,0.79811,15.22272,4.34978,13.44639,1.19346,3.1833,0.76871,3.62494,2.53786,25.38009,4.83293,0.7269,5.14011,0.74527,3.90578,2.01906,1.34433,2.07463,2.17177,2.31687,8.693,1.9291,8.4287,4.43533,14.51225,1.35313,1.50564,0.76718,8.91387,5.20969,0.51102,10.93391,1.40978,3.4243,2.92848,1.79052,2.5908,6.60416,1.01889,1.25144,1.60242,1.36268,7.39689,3.33723,4.27695,5.82887,1.94072,4.0556,1.45494,5.2857,0.70611,9.79025,2.23112,21.0701,1.50914,2.90266,2.88156,1.3798,0.52142,1.19176,3.14319,0.97252,2.20623,1.27982,0.24343,12.09462,1.79985,12.52002,31.85303,8.92653,4.10085,15.24257,2.44526,14.633,0.93171,24.32949,1.49027,2.66578,1.57037
k__Bacteria|p__Actinobacteria,0.02527,23.76007,7.77438,3.78326,0.86604,0.41255,3.30846,2.81286,12.91043,7.87172,6.97206,5.96585,3.75001,1.24218,0.8131,7.43764,1.47465,1.47751,2.21034,0.27323,0.48767,3.51271,0.43252,11.41949,26.64191,0.61995,4.30035,8.46003,2.09668,0.89791,0.66229,1.23113,2.45082,2.30366,12.69794,11.92034,1.65984,1.98532,1.68558,6.09393,1.88459,5.60522,3.13124,1.45761,0.69217,3.9394,0.35524,0.44318,12.2851,2.96697,17.65493,3.8113,0.55913,0.78258,13.92357,0.19797,6.19055,7.27135,0.1009,4.09375,1.6883,0.53348,9.11213,0.41442,0.99249,1.11286,6.63695,0.9143,0.2588,7.89053,1.55965,0.69696,1.35235,2.33594,0.16944,0.22512,1.87172,0.31347,3.87673,0.67945,3.87425,0.9491,16.4789,4.26207,1.56782,0.27447,0.41917,0.77679,0.69237,0.97463,0.66075,0.20518,4.54825,13.3199,0.6934,28.49094,3.30741,0.88583,6.16011,3.17921,1.38963,0.82908,2.03445,7.54689,2.86419,0.06513,2.12982,1.2076,0.16862,0.55047,0.8049,0.19553,0.19771,3.22377,0.36509,7.92195,2.94711,13.21453,16.47393,11.17054,13.00982,0.30804,2.24844,0.61406,5.3109,2.26641,0.19315,3.49201,0.47211,2.29977,1.42849,0.40723,0.08891,1.28262,1.37959,0.3705,1.28469,1.18202,0.49772,1.21053,1.07039,2.25612,0.35684,0.1306,3.17307,0.27854,0.19964,5.33793,1.06716,0.67074,0.51032,1.9215,4.71217,3.08247,2.57929,0.24367,0.15618,5.35423,0.28201,2.27995,0.26995,1.02291,12.46988,0.51084,0.06354,3.47811,0.03525,3.23769,0.82611,0.54089,0.28471
k__Bacteria|p__Candidatus_Saccharibacteria,0,0.00174,0.00125,0,0.03393,0,0,0.03459,0.0574,0,0,0.00269,0.01648,0.00509,0.00419,0.00208,0,0.00777,0,0,0,0.00061,0,0.01004,0.0263,0,0,0.00686,0.00285,0.00602,0.00779,0,0,0,0,0,0,0.01297,0,0.18322,0,0.05705,0.00867,0,0.01783,0.0043,0.00093,0,0,0,0.00275,0.01348,0.01531,0,0.00863,0,0,0.02188,0.00328,0,0.00374,0,0,0.04532,0,0,0,0,0,0,0.03222,0,0,0.0102,0,0.00072,0.00085,0,0,0.00451,0,0,0,0,0,0.00466,0.0023,0,0,0,0,0.00573,0.0013,0.008,0,0.00246,0,0,0,0.00137,0,0,0.00234,0.00397,0,0,0,0.0021,0.00489,0,0,0,0,0.00089,0,0.00249,0.00066,0,0,0,0,0,0.00488,0.00758,0,0,0,0.02116,0.00778,0,0.01219,0.01061,0.00348,0.00402,0,0.00103,0.03395,0,0,0,0.0048,0.0152,0,0.00109,0.01448,0,0,0,0.00891,0,0,0,0,0,0,0.00101,0,0.00177,0,0.00285,0,0,0,0,0,0,0,0.01042,0,0.0034,0
k__Bacteria|p__Verrucomicrobia,0,0,0.15229,1.06022,0.0025,0,0.10074,0,0,0,0,0,4.27173,0,0,0,0,0,0.29761,0,0,0,0,0,0,0,0,0.00572,29.58413,0.00306,0,0,0,0.00264,0.02193,0.69383,4.52073,0,0.05557,0,0,0,0,0,0,0,0.00079,0,0,0,0.03272,0,0,0,8.14573,0.0016,7.35425,0.01507,0,0,0,1.89329,0.63519,0,0,0,0,0.01245,0.00016,0,0,0,7.69861,0,0,0,0.00433,0.41521,0,0.0088,0.396,0.48079,0,0,0.05136,0.16002,0,5.71121,6.90114,0,0.05027,0,0,0,0,0,0.02981,0,0.15162,0.30875,0,0,0.07328,0,1.89522,0,0.00343,0,0,0,0,0,0,0.00136,6.49038,0.21169,0.00023,0,3.06679,0.08728,0,0,0.00758,0.18239,3.23876,0,0,0,0,0,0,0,0.25484,0.15133,0.06163,0,0,0,0,0,0,0,0,0.00055,0,0.00054,0,0.53525,2.09649,0,0.63165,0,0,0,0,0,0.00906,0,0,1.6397,0,1.41282,0.03478,0.08856,0,0,0,0,0,0,0
k__Viruses|p__Viruses_noname,0.13801,0.05126,0.0072,0.01984,0.04504,0.23822,0.00564,0.0283,0.01846,0.00706,0.02617,0.03227,0.01675,0.00592,0.00574,0.01945,0.0288,0.01646,0.18382,0.90664,0.02797,0.00537,0.03,0.00685,0.24009,0.00555,0.05701,0.0085,0.02574,0.01116,0.03489,0.01751,0.00682,0,0.02033,0.01933,0.0022,0.01373,0,0.00644,0.0221,0.00747,0.048,0.03364,0.00599,0.00724,0.0077,0.00873,0.00978,0.0286,0.03791,6.9222,0.00589,0.02042,0.00375,0.00597,0.01717,0.00331,0.01701,0.02889,0.01861,0.00973,0.00937,0.0205,0,0,0,0.11923,0.01261,0.03693,0.02894,0.05816,0.00266,0,0,25.91895,0,0,0,0.03288,0,0,0,0,5.60558,0,0,0,0,0,0.04951,0,0,0.12789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02435,0.00164,0.02281,0.34262,0.16611,0.00793,0,0,0.01206,0.00417,0.00573,0,0,0,0,0,0.00907,0.00736,0.01049,0.00851,27.43325,0,1.39465,0,0.0029,0,4.26032,0.04403,0,0.00331,0.0179,0,0.15124,0,0.81906,0.87669,0.6211,1.38539,0.78361,1.66835,1.19308,0.00862,0.52387,0.58229,0.83478,1.09763,1.00472,0.71217,0,1.92753,1.48057,0,0.9064,1.38501,0.69519,1.20812,0.88082,0.96774,0.96899,0
k__Bacteria|p__Synergistetes,0,0,0,0,0,0.00948,0,0,0,0,0.02456,0,0.43644,0.01978,0,0,0,0,0.01036,0.00111,0,0,0,0,0,0.10691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02253,0,0,0.00032,0,0,0,0,0,0.00791,0,0,0.04261,0,0,0,0.02785,0,0,0,0,0,0.00727,0,0,0,0,0,0,0.0166,0,0,0,0,0.73263,0,0.00359,0,0,0,0,0,0,0,0,0.12782,0,0,0,0,0,0,0,0,0,0,0,0,0.12129,0,0,0,0,0,0.00472,0,0,0,0.00115,0.00815,0,0,0,0,0.00736,0,0,0.00149,0,0,0,0.03442,0,0,0,0,0,0,0,0,0,0,0,0,0.00523,0,0,0,0,0,0,0,0,0,0,0,0,0.00669,0.22984,0,0.01045,0,0,0,0,0,0,0,0
