sample,LiJ_2014.metaphlan_bugs_list.stool:DLF005-IE,LiJ_2014.metaphlan_bugs_list.stool:DLM006-IE,LiJ_2014.metaphlan_bugs_list.stool:DOM005-IE,LiJ_2014.metaphlan_bugs_list.stool:DOM017-IE,LiJ_2014.metaphlan_bugs_list.stool:NLF002-IE,LiJ_2014.metaphlan_bugs_list.stool:NLF009-IE,LiJ_2014.metaphlan_bugs_list.stool:NLM009-IE,LiJ_2014.metaphlan_bugs_list.stool:NLM025-IE,LiJ_2014.metaphlan_bugs_list.stool:NOF002-IE,LiJ_2014.metaphlan_bugs_list.stool:NOF007-IE,LiJ_2014.metaphlan_bugs_list.stool:NOF013-IE
k__Bacteria,100,99.87743,99.99107,100,100,100,99.99669,99.78529,100,99.95616,99.98494
k__Bacteria|p__Firmicutes,52.66221,69.75102,13.01683,42.84861,38.86224,38.35013,23.36702,37.10004,28.54666,39.73107,43.93034
k__Bacteria|p__Bacteroidetes,45.31089,28.72939,52.7177,54.56127,59.12153,58.75018,74.53181,55.34083,62.36386,57.35567,52.96171
k__Bacteria|p__Proteobacteria,1.17457,1.10866,30.82454,1.21513,1.73082,2.62152,1.35096,4.80927,6.86757,0.81956,1.38775
k__Bacteria|p__Actinobacteria,0.85233,0.28417,0.17423,0.10203,0.25034,0.27817,0.7469,0.99711,2.05748,2.02933,1.68158
k__Bacteria|p__Firmicutes|c__Clostridia,50.9369,68.47258,11.69091,42.80228,37.25301,38.24818,23.19952,36.013,23.81491,39.59458,29.25864
k__Bacteria|p__Bacteroidetes|c__Bacteroidia,45.31089,28.72939,52.7177,54.56127,59.12153,58.75018,74.53181,55.34083,62.36386,57.35567,52.96171
k__Bacteria|p__Firmicutes|c__Negativicutes,1.37723,0.44583,1.10237,0.00071,0.18523,0.01045,0.09699,0.02855,4.52007,0,13.80991
k__Bacteria|p__Actinobacteria|c__Actinobacteria,0.85233,0.28417,0.17423,0.10203,0.25034,0.27817,0.7469,0.99711,2.05748,2.02933,1.68158
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria,0.76033,0.33726,28.18116,0.167,1.20027,1.37486,1.25664,2.73078,3.87882,0.39093,1.08754
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria,0.32406,0.64024,2.364,0.94065,0.51669,0.74004,0,0.05425,2.98875,0.31663,0.14249
k__Bacteria|p__Firmicutes|c__Bacilli,0.30039,0.75879,0,0.00335,1.18569,0.08154,0.07051,0.10481,0.20975,0.01894,0.40193
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria,0.09018,0.13117,0.27937,0.10748,0.01386,0.50663,0.09433,2.02423,0,0.11199,0.15771
k__Bacteria|p__Firmicutes|c__Erysipelotrichia,0.04769,0.07382,0.22355,0.04228,0.23831,0.00997,0,0.95368,0.00194,0.11755,0.45985
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales,50.9369,68.47258,11.69091,42.80228,37.25301,38.24818,23.19952,36.013,23.81491,39.59458,29.25864
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales,45.31089,28.72939,52.7177,54.56127,59.12153,58.75018,74.53181,55.34083,62.36386,57.35567,52.96171
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales,1.37723,0.44583,1.10237,0.00071,0.18523,0.01045,0.09699,0.02855,4.52007,0,13.80991
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales,0.56592,0.08033,28.06533,0.0959,0.9214,1.18835,0.19432,2.64405,3.80548,0.35919,0.43597
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales,0.42773,0.07672,0,0.01359,0.05734,0.00348,0.56248,0.50702,1.76542,0.58462,1.19128
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales,0.37783,0.20745,0.17423,0.08844,0.193,0.27468,0.18442,0.49009,0.29206,1.44471,0.4903
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales,0.32406,0.64024,2.364,0.94065,0.51669,0.74004,0,0.05425,2.98875,0.31663,0.14249
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales,0.30039,0.74606,0,0.00335,1.18569,0.08154,0.07051,0.10481,0.18326,0.01894,0.40193
