sample,LiJ_2017.metaphlan_bugs_list.stool:nHF409542,LiJ_2017.metaphlan_bugs_list.stool:nHF411719,LiJ_2017.metaphlan_bugs_list.stool:nHF411741,LiJ_2017.metaphlan_bugs_list.stool:nHF511704,LiJ_2017.metaphlan_bugs_list.stool:nHF512818,LiJ_2017.metaphlan_bugs_list.stool:nHF512829,LiJ_2017.metaphlan_bugs_list.stool:nHF611623,LiJ_2017.metaphlan_bugs_list.stool:nHF611710,LiJ_2017.metaphlan_bugs_list.stool:nHF612722,LiJ_2017.metaphlan_bugs_list.stool:nHM410714,LiJ_2017.metaphlan_bugs_list.stool:nHM410727,LiJ_2017.metaphlan_bugs_list.stool:nHM410833,LiJ_2017.metaphlan_bugs_list.stool:nHM411801,LiJ_2017.metaphlan_bugs_list.stool:nHM412703,LiJ_2017.metaphlan_bugs_list.stool:nHM412716,LiJ_2017.metaphlan_bugs_list.stool:nHM412839,LiJ_2017.metaphlan_bugs_list.stool:nHM412844,LiJ_2017.metaphlan_bugs_list.stool:nHM510732,LiJ_2017.metaphlan_bugs_list.stool:nHM510737,LiJ_2017.metaphlan_bugs_list.stool:nHM510831,LiJ_2017.metaphlan_bugs_list.stool:nHM511615,LiJ_2017.metaphlan_bugs_list.stool:nHM511712,LiJ_2017.metaphlan_bugs_list.stool:nHM511717,LiJ_2017.metaphlan_bugs_list.stool:nHM511720,LiJ_2017.metaphlan_bugs_list.stool:nHM511730,LiJ_2017.metaphlan_bugs_list.stool:nHM511735,LiJ_2017.metaphlan_bugs_list.stool:nHM511738,LiJ_2017.metaphlan_bugs_list.stool:nHM511813,LiJ_2017.metaphlan_bugs_list.stool:nHM511821,LiJ_2017.metaphlan_bugs_list.stool:nHM512705,LiJ_2017.metaphlan_bugs_list.stool:nHM512802,LiJ_2017.metaphlan_bugs_list.stool:nHM512806,LiJ_2017.metaphlan_bugs_list.stool:nHM512811,LiJ_2017.metaphlan_bugs_list.stool:nHM512828,LiJ_2017.metaphlan_bugs_list.stool:nHM512834,LiJ_2017.metaphlan_bugs_list.stool:nHM611708,LiJ_2017.metaphlan_bugs_list.stool:nHM612607,LiJ_2017.metaphlan_bugs_list.stool:nHM612709,LiJ_2017.metaphlan_bugs_list.stool:nHM612724,LiJ_2017.metaphlan_bugs_list.stool:nHM612743,LiJ_2017.metaphlan_bugs_list.stool:nHMX11726
k__Bacteria,100,100,100,99.99046,99.98565,100,99.57628,99.9876,100,99.98504,99.98159,99.88203,99.9693,100,100,100,100,99.99134,100,99.99701,100,99.95629,99.99051,100,100,99.99485,100,99.99432,100,98.59456,100,28.06139,100,99.99521,99.96671,99.98624,99.96583,99.99179,100,100,99.88454
k__Viruses,0,0,0,0.00954,0.01435,0,0.42372,0,0,0.01496,0.01841,0.11797,0.0307,0,0,0,0,0.00233,0,0,0,0.04371,0,0,0,0.00515,0,0,0,1.40544,0,71.93861,0,0.00479,0.03329,0.01376,0.03417,0.00821,0,0,0.11546
k__Bacteria|p__Proteobacteria,16.13961,1.35655,1.35752,50.81555,4.7284,3.00316,0.87868,1.38062,6.99285,2.71874,4.11128,16.0591,69.20896,7.78252,6.93921,28.1594,13.33774,17.84257,0.896,0.69994,4.6707,11.12664,45.49704,3.04074,3.24017,19.35594,3.39644,1.20961,38.51213,8.2864,0.64947,5.14187,2.79442,6.07767,3.38358,12.42054,1.39012,57.0012,12.58084,14.81984,1.12785
k__Bacteria|p__Bacteroidetes,71.86891,68.29209,83.63257,32.11486,42.98642,63.51934,46.10864,64.64908,75.97302,85.33388,83.83072,53.35091,1.35942,57.41151,57.07991,28.91446,52.90512,39.17234,92.06658,40.31064,18.20816,24.80638,13.56387,30.58761,62.57157,33.28447,66.36341,80.77318,24.39202,62.40009,86.23343,16.14073,62.33089,79.07173,13.1929,56.16234,34.65014,1.83574,44.39193,55.14782,82.43181
k__Bacteria|p__Firmicutes,11.7215,26.88538,14.84075,16.8699,51.85527,6.937,49.03575,33.684,11.53644,10.30905,11.853,29.64374,14.88055,32.77686,35.73212,39.41628,32.91241,41.05803,6.93453,58.20288,68.34761,45.23964,31.37437,65.00163,32.91687,47.32751,29.54226,17.97867,34.78373,26.51278,12.3314,6.54194,34.78262,14.80722,80.36671,26.86399,61.11089,34.40111,35.05161,29.60138,15.80921
k__Bacteria|p__Actinobacteria,0.26796,3.46141,0.16755,0.19014,0.41556,15.22807,3.27916,0.27391,0.67792,1.62337,0.1866,0.82828,14.52037,1.63673,0.24877,3.50986,0.84474,1.00081,0.10288,0.78354,8.77353,2.09291,9.55522,1.36798,1.27138,0.02693,0.37287,0.03286,2.30639,0.21883,0.78081,0.2161,0.07507,0.03859,3.02352,4.5293,2.68962,6.74812,3.94434,0.4187,0.06009
k__Viruses|p__Viruses_noname,0,0,0,0.00954,0.01435,0,0.42372,0,0,0.01496,0.01841,0.11797,0.0307,0,0,0,0,0.00233,0,0,0,0.04371,0,0,0,0.00515,0,0,0,1.40544,0,71.93861,0,0.00479,0.03329,0.01376,0.03417,0.00821,0,0,0.11546
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria,7.44402,0.4118,0.66812,45.37836,0.3458,1.66753,0.01424,0.17764,1.20878,0.32783,2.23504,12.49987,52.73542,3.13232,0.01035,0.15419,1.52114,14.49233,0.74174,0.69994,2.28069,0.71165,42.02482,1.1612,0.09005,3.73364,1.89517,0.37666,37.49842,0.76204,0.15582,3.30914,0.74044,4.32076,0.86989,0.53991,1.39012,2.12971,0,10.16529,0.41781
k__Bacteria|p__Bacteroidetes|c__Bacteroidia,71.86891,68.29209,83.63257,32.11486,42.98642,63.51934,46.10864,64.64908,75.97302,85.33388,83.83072,53.35091,1.35942,57.41151,57.07991,28.91446,52.90512,39.17234,92.06658,40.31064,18.20816,24.80638,13.56387,30.58761,62.57157,33.28447,66.36341,80.77318,24.39202,62.40009,86.23343,16.14073,62.33089,79.07173,13.1929,56.16234,34.65014,1.83574,44.39193,55.14782,82.43181
k__Bacteria|p__Firmicutes|c__Clostridia,11.61503,24.27847,14.78274,16.77508,51.20849,3.0984,48.96409,30.21798,11.43391,9.91525,10.74434,29.55115,11.63233,32.5955,35.32498,38.49515,32.758,32.81012,5.89274,57.4253,65.81358,44.78347,19.05994,64.91432,27.71795,41.23436,29.47778,17.93061,34.67451,25.4634,11.83989,6.27765,34.48737,13.4223,78.69021,25.34201,59.86525,32.45477,34.98936,29.07457,15.56146
