sample,LiSS_2016.metaphlan_bugs_list.stool:FAT_DON_11-22-0-4,LiSS_2016.metaphlan_bugs_list.stool:FAT_DON_11-22-0-5,LiSS_2016.metaphlan_bugs_list.stool:FAT_DON_11-22-0-6,LiSS_2016.metaphlan_bugs_list.stool:FAT_DON_19-22-0-0,LiSS_2016.metaphlan_bugs_list.stool:FAT_DON_8-22-0-0
k__Bacteria,99.94029,99.99711,99.94252,100,97.25948
k__Bacteria|p__Firmicutes,45.00179,64.54297,65.77136,75.14881,65.57562
k__Bacteria|p__Bacteroidetes,52.61944,30.68056,30.28097,17.35494,18.80109
k__Bacteria|p__Actinobacteria,1.70557,4.28649,1.75949,7.00671,11.7313
k__Bacteria|p__Proteobacteria,0.38091,0.39189,0.66244,0.46001,0.89449
k__Bacteria|p__Verrucomicrobia,0.23257,0.08663,1.46827,0.02952,0.24851
k__Bacteria|p__Firmicutes|c__Clostridia,40.85295,57.73694,64.82979,73.69656,55.36034
k__Bacteria|p__Bacteroidetes|c__Bacteroidia,52.61944,30.68056,30.28097,17.35494,18.80109
k__Bacteria|p__Actinobacteria|c__Actinobacteria,1.70557,4.28649,1.75949,7.00671,11.7313
k__Bacteria|p__Firmicutes|c__Negativicutes,0.80266,1.88623,0.62742,1.0772,5.79121
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria,0.09901,0.07411,0.20714,0.33824,0.33987
k__Bacteria|p__Firmicutes|c__Erysipelotrichia,0.02413,0.03394,0.03576,0.21542,4.17443
k__Bacteria|p__Firmicutes|c__Bacilli,3.32206,4.88585,0.27839,0.15964,0.24964
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria,0.14733,0.05423,0.27298,0.11619,0.55462
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae,0.23257,0.08663,1.46827,0.02952,0.24851
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria,0.13458,0.26355,0.18231,0.00559,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales,40.85295,57.73694,64.82979,73.69656,55.36034
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales,52.61944,30.68056,30.28097,17.35494,18.80109
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales,0.72768,2.34415,0.7414,5.61989,11.32211
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales,0.97094,1.9227,1.00738,1.38682,0.39619
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales,0.80266,1.88623,0.62742,1.0772,5.79121
