sample,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO01,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO02,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO03,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO04,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO05,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO06,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO08,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO09,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO10,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO11,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO12,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO13,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO14,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO15,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO16,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO17,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO18,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO19,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO20,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO21,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO22,Obregon-TitoAJ_2015.metaphlan_bugs_list.stool:NO23
k__Bacteria,99.99236,96.90269,98.66014,99.04719,99.99593,100,99.76247,100,99.69148,99.99243,99.98851,97.10506,99.9966,100,98.72051,99.99532,100,100,100,99.98274,99.99432,99.99442
k__Archaea,0,3.09731,1.32286,0.95281,0.00194,0,0.2076,0,0,0,0,2.54114,0,0,1.25926,0,0,0,0,0,0,0
k__Viruses,0.00689,0,0.017,0,0.00213,0,0.02493,0,0.30852,0.00757,0.01149,0.3538,0.0034,0,0.02023,0.00468,0,0,0,0.0159,0,0.00558
k__Bacteria|p__Firmicutes,64.90585,72.35864,62.20961,80.03306,40.91989,79.49472,90.90195,85.57559,74.59017,84.62581,37.41597,51.36973,68.08631,70.08548,68.69088,94.96229,95.93673,76.35475,36.24806,68.35937,68.87705,72.92105
k__Bacteria|p__Bacteroidetes,31.48195,6.7103,12.96968,11.47814,27.79268,12.71624,1.5462,3.1417,0.75816,5.87376,60.37186,41.92625,21.41705,11.04588,28.34627,0.27196,0.36269,22.58809,50.41693,8.76386,17.29737,16.7607
k__Bacteria|p__Actinobacteria,1.42168,16.98977,23.20416,7.21834,16.69315,6.53415,7.16773,6.74548,22.62418,5.46919,1.22886,1.11062,9.92304,9.76336,1.23058,4.6818,2.06406,0.14936,3.64667,20.72065,2.65429,1.78481
k__Archaea|p__Euryarchaeota,0,3.09731,1.32286,0.95281,0.00194,0,0.2076,0,0,0,0,2.54114,0,0,1.25926,0,0,0,0,0,0,0
k__Bacteria|p__Spirochaetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Viruses|p__Viruses_noname,0.00689,0,0.017,0,0.00213,0,0.02493,0,0.30852,0.00757,0.01149,0.3538,0.0034,0,0.02023,0.00468,0,0,0,0.0159,0,0.00558
k__Bacteria|p__Proteobacteria,2.17438,0.23791,0.07562,0.31766,0.61783,1.25182,0.13874,0.09777,0.07585,0.5569,0.96152,0.45837,0.50227,1.26165,0.45278,0.07927,0.00351,0.82123,9.68662,1.70289,0.5927,0.70935
k__Bacteria|p__Firmicutes|c__Clostridia,47.17685,71.60225,54.38563,66.6958,39.50932,48.41034,71.6111,81.47571,65.37,64.09482,32.19698,49.49102,62.79083,69.11699,66.96366,93.55076,93.52078,67.2115,36.07929,67.22127,64.7612,72.66619
k__Bacteria|p__Bacteroidetes|c__Bacteroidia,31.48195,6.7103,12.96968,11.47814,27.79268,12.71624,1.5462,3.1417,0.75816,5.87376,60.37186,41.92625,21.41705,11.04588,28.34627,0.27196,0.36269,22.58809,50.41693,8.76386,17.29737,16.7607
k__Bacteria|p__Firmicutes|c__Erysipelotrichia,8.30987,0.24236,3.69505,1.91694,1.09498,0.65588,1.86784,0.49859,0.85271,0.40179,0.08618,1.71838,0.03519,0.1542,0.42521,0.31806,0.15453,0.58092,0.04657,0.93352,0.54876,0.15911
k__Bacteria|p__Actinobacteria|c__Actinobacteria,1.42168,16.98977,23.20416,7.21834,16.69315,6.53415,7.16773,6.74548,22.62418,5.46919,1.22886,1.11062,9.92304,9.76336,1.23058,4.6818,2.06406,0.14936,3.64667,20.72065,2.65429,1.78481
k__Archaea|p__Euryarchaeota|c__Methanobacteria,0,3.09731,1.32286,0.95281,0.00194,0,0.2076,0,0,0,0,2.54114,0,0,1.25926,0,0,0,0,0,0,0
