sample,RaymondF_2016.metaphlan_bugs_list.stool:P10E0,RaymondF_2016.metaphlan_bugs_list.stool:P11E0,RaymondF_2016.metaphlan_bugs_list.stool:P12E0,RaymondF_2016.metaphlan_bugs_list.stool:P13E0,RaymondF_2016.metaphlan_bugs_list.stool:P14E0,RaymondF_2016.metaphlan_bugs_list.stool:P15E0,RaymondF_2016.metaphlan_bugs_list.stool:P17E0,RaymondF_2016.metaphlan_bugs_list.stool:P18E0,RaymondF_2016.metaphlan_bugs_list.stool:P19E0,RaymondF_2016.metaphlan_bugs_list.stool:P1E0,RaymondF_2016.metaphlan_bugs_list.stool:P20E0,RaymondF_2016.metaphlan_bugs_list.stool:P21E0,RaymondF_2016.metaphlan_bugs_list.stool:P22E0,RaymondF_2016.metaphlan_bugs_list.stool:P23C0,RaymondF_2016.metaphlan_bugs_list.stool:P23C7,RaymondF_2016.metaphlan_bugs_list.stool:P23C90,RaymondF_2016.metaphlan_bugs_list.stool:P25C0,RaymondF_2016.metaphlan_bugs_list.stool:P25C7,RaymondF_2016.metaphlan_bugs_list.stool:P25C90,RaymondF_2016.metaphlan_bugs_list.stool:P2E0,RaymondF_2016.metaphlan_bugs_list.stool:P38C0,RaymondF_2016.metaphlan_bugs_list.stool:P38C7,RaymondF_2016.metaphlan_bugs_list.stool:P38C90,RaymondF_2016.metaphlan_bugs_list.stool:P3E0,RaymondF_2016.metaphlan_bugs_list.stool:P4E0,RaymondF_2016.metaphlan_bugs_list.stool:P5E0,RaymondF_2016.metaphlan_bugs_list.stool:P6C0,RaymondF_2016.metaphlan_bugs_list.stool:P6C7,RaymondF_2016.metaphlan_bugs_list.stool:P6C90,RaymondF_2016.metaphlan_bugs_list.stool:P7C0,RaymondF_2016.metaphlan_bugs_list.stool:P7C7,RaymondF_2016.metaphlan_bugs_list.stool:P7C90,RaymondF_2016.metaphlan_bugs_list.stool:P8C0,RaymondF_2016.metaphlan_bugs_list.stool:P8C7,RaymondF_2016.metaphlan_bugs_list.stool:P8C90,RaymondF_2016.metaphlan_bugs_list.stool:P9E0
k__Bacteria,99.83657,100,100,99.00583,99.7403,99.84527,100,99.99972,97.99553,99.93057,100,100,99.96827,99.99436,99.99831,99.99973,100,99.23376,99.99207,100,100,99.9957,99.99286,99.99912,100,100,99.6254,99.58017,99.93449,99.99251,100,100,100,100,100,100
k__Archaea,0.16343,0,0,0.99417,0.25843,0,0,0,2.00447,0.06943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12613,0.27274,0.06486,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes,55.81586,78.06068,83.38699,65.45092,76.48672,68.2806,82.88841,49.08675,30.59498,46.39813,76.40349,56.41318,74.90151,55.11154,34.50243,78.88564,45.15545,52.13001,65.27345,83.74816,64.32448,68.74935,65.49086,67.32368,73.73269,63.7245,58.17451,62.58748,74.50709,54.1747,50.28437,59.41724,86.76681,76.82741,84.29453,84.46965
k__Bacteria|p__Firmicutes,35.20156,13.71232,16.4095,27.3682,18.44315,25.78645,13.70213,36.23957,42.37584,29.76664,21.03687,32.77799,23.74265,41.31107,61.83396,17.26509,45.74588,37.95761,24.66682,14.35368,31.36002,29.19646,28.74435,20.23758,25.5321,34.03534,31.83821,20.31384,20.72656,37.61174,37.04279,28.71816,11.7144,21.72351,14.45321,12.86064
k__Bacteria|p__Proteobacteria,5.54369,7.34597,0.08917,1.69742,4.18636,5.17129,1.61387,0.99605,0.90539,3.15928,1.94005,2.64648,1.20397,1.53622,0.78247,2.49501,7.93101,8.17663,3.2709,0.87849,4.16714,1.84722,5.53035,11.95185,0.24998,0.80576,2.36027,2.63847,2.25833,2.13887,2.66301,1.96878,1.23599,0.8335,0.77074,1.79759
k__Bacteria|p__Actinobacteria,3.27547,0.88104,0.11433,3.81788,0.62407,0.60483,1.79296,6.26108,0.56304,7.42903,0.61843,0.75421,0.10175,1.90545,2.53325,1.3379,0.37218,0.9335,0.80193,0.37047,0.14836,0.20112,0.22593,0.48601,0.47294,1.42307,7.25056,14.04039,1.84651,0.47021,0.52914,0.90204,0.28218,0.61208,0.48003,0.87167
k__Archaea|p__Euryarchaeota,0.16343,0,0,0.99417,0.25843,0,0,0,2.00447,0.06943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12613,0.27274,0.06486,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia,55.81586,78.06068,83.38699,65.45092,76.48672,68.2806,82.88841,49.08675,30.59498,46.39813,76.40174,56.41318,74.90151,55.11154,34.50243,78.88564,45.15545,52.13001,65.27345,83.74816,64.32448,68.74935,65.49086,67.32368,73.73269,63.7245,58.17451,62.58748,74.50709,54.1747,50.28437,59.41724,86.76038,76.82741,84.2923,84.46965
k__Bacteria|p__Firmicutes|c__Clostridia,34.56196,9.81931,14.47798,19.82886,17.19678,20.66348,13.5096,19.39795,39.46065,29.75288,11.70102,23.86741,19.76082,36.05257,59.49541,15.42201,44.20144,31.47509,23.61426,13.7517,31.05221,28.84305,28.33613,19.81251,6.87918,18.90752,31.64794,19.91828,20.52559,37.54406,36.78741,28.02551,8.26904,15.70859,8.64909,12.43793
k__Bacteria|p__Actinobacteria|c__Actinobacteria,3.27547,0.88104,0.11433,3.81788,0.62407,0.60483,1.79296,6.26108,0.56304,7.42903,0.61843,0.75421,0.10175,1.90545,2.53325,1.3379,0.37218,0.9335,0.80193,0.37047,0.14836,0.20112,0.22593,0.48601,0.47294,1.42307,7.25056,14.04039,1.84651,0.47021,0.52914,0.90204,0.28218,0.61208,0.48003,0.87167
