sample,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ03H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ16H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ17H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ18H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ21H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ24H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ34H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ37H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ45H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ46H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ57H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ60H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ63H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ65H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ67H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ68H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ69H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ73H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ74H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ75H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ77H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ78H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ79H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ80H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ81H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ82H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ83H_17,ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ84H_17
k__Bacteria,99.63832,99.95324,99.9159,100,99.40064,99.99673,100,100,99.48575,100,95.06443,100,100,99.51147,95.81198,100,100,99.92538,100,100,100,100,100,99.78108,100,100,99.87551,100
k__Archaea,0.36168,0.00418,0,0,0.59936,0,0,0,0.51425,0,4.93557,0,0,0.48853,3.98831,0,0,0.07462,0,0,0,0,0,0.21892,0,0,0.12449,0
k__Bacteria|p__Firmicutes,28.85645,63.37863,29.64032,58.48559,77.91128,45.22979,72.13962,71.50715,55.9118,65.92508,63.2256,63.08407,39.28783,71.0667,62.32897,60.38485,57.07865,80.02846,76.57814,42.89603,38.82686,70.8956,59.68898,73.54366,28.44606,65.52952,63.54041,58.69804
k__Bacteria|p__Actinobacteria,26.94961,19.7323,29.76227,8.15447,3.76583,10.99648,1.67073,5.7318,21.14302,4.86678,22.78624,1.70424,10.30278,13.84561,16.25931,21.39679,2.97224,2.89176,10.8082,32.35578,6.91109,10.27444,23.29734,12.4903,58.21555,8.10126,1.90002,2.44126
k__Bacteria|p__Bacteroidetes,40.665,16.51434,38.38883,32.11224,16.82589,11.32365,23.00184,21.85358,19.84767,26.98991,7.79753,34.90952,49.16599,14.22098,16.22105,14.58742,35.96968,15.65861,11.7106,19.37968,51.10941,17.56748,14.99033,13.42416,12.28457,25.03783,33.4187,37.17081
k__Archaea|p__Euryarchaeota,0.36168,0.00418,0,0,0.59936,0,0,0,0.51425,0,4.93557,0,0,0.48853,3.98831,0,0,0.07462,0,0,0,0,0,0.21892,0,0,0.12449,0
k__Bacteria|p__Verrucomicrobia,0.06463,0,0,0,0.20956,0,2.79016,0.15788,1.32522,0.00128,0.93072,0,0,0,0,2.21418,1.29842,0.34789,0.14374,2.99499,0.11991,0.18584,0,0,0,1.23113,0.00273,0.95426
k__Bacteria|p__Proteobacteria,3.10263,0.32592,2.12448,1.2477,0.68808,32.44682,0.39441,0.74958,1.25804,2.21664,0.32434,0.30216,1.2342,0.37817,1.00264,1.41677,2.68101,0.99866,0.75932,2.37352,3.03273,1.07664,2.02336,0.32297,1.05382,0.10027,1.00473,0.73563
k__Bacteria|p__Firmicutes|c__Clostridia,25.45417,62.56834,25.17174,46.33952,75.59079,30.40599,71.32173,66.43509,54.84938,39.04668,63.09121,60.79266,25.45194,67.42697,58.59954,51.37785,55.66678,75.39305,73.79621,35.20443,37.83966,50.5163,54.05907,70.24972,21.41517,61.37539,52.94362,50.39057
k__Bacteria|p__Actinobacteria|c__Actinobacteria,26.94961,19.7323,29.76227,8.15447,3.76583,10.99648,1.67073,5.7318,21.14302,4.86678,22.78624,1.70424,10.30278,13.84561,16.25931,21.39679,2.97224,2.89176,10.8082,32.35578,6.91109,10.27444,23.29734,12.4903,58.21555,8.10126,1.90002,2.44126
k__Bacteria|p__Bacteroidetes|c__Bacteroidia,40.665,16.51434,38.38883,32.11224,16.82589,11.32365,23.00184,21.85358,19.84767,26.98991,7.79753,34.90952,49.16599,14.22098,16.22105,14.58742,35.96968,15.65861,11.7106,19.37968,51.10941,17.56748,14.99033,13.42416,12.28457,25.03783,33.4187,37.17081
k__Archaea|p__Euryarchaeota|c__Methanobacteria,0.36168,0.00418,0,0,0.59936,0,0,0,0.51425,0,4.93557,0,0,0.48853,3.98831,0,0,0.07462,0,0,0,0,0,0.21892,0,0,0.12449,0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae,0.06463,0,0,0,0.20956,0,2.79016,0.15788,1.32522,0.00128,0.93072,0,0,0,0,2.21418,1.29842,0.34789,0.14374,2.99499,0.11991,0.18584,0,0,0,1.23113,0.00273,0.95426
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria,0.1939,0.22972,1.66527,0.41745,0.07249,0.06315,0.27691,0.15618,0.12035,0.04809,0.17975,0.14877,0,0,0.38282,0.0958,0.60383,0,0.15112,0.34263,0.23016,0.33775,0.44814,0.16537,0.84386,0,0.08666,0.38972
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria,1.00135,0.07401,0.0598,0.81135,0.01806,0.27708,0.0046,0.2154,0.57806,0.41781,0.14084,0.05754,0.04151,0.27626,0.00533,0.00965,2.07718,0,0.55383,1.07825,2.80257,0.71426,0.05517,0.1576,0.00167,0.10027,0.6334,0.34396
k__Bacteria|p__Firmicutes|c__Bacilli,0.4452,0.54829,3.99176,0.58654,2.26784,7.7084,0.7041,1.37628,1.01627,20.0044,0.10075,2.10563,12.40643,1.69942,1.25455,8.86942,0.57127,4.55319,0.425,1.68504,0.49097,12.66488,0.38068,1.23567,1.06837,0.55279,5.03871,0.15272
k__Bacteria|p__Firmicutes|c__Erysipelotrichia,0.07743,0.04627,0.46539,0.06654,0,2.90455,0.07861,0.00714,0.02063,1.16877,0.02887,0.0671,0.58836,1.00652,2.09467,0.13757,0.81497,0.01144,0.13316,0.24864,0.42767,5.09675,5.24904,0.12777,0.10081,0.08973,1.52487,5.69842
k__Bacteria|p__Firmicutes|c__Negativicutes,2.87966,0.21573,0.01143,11.49298,0.05265,4.21085,0.03519,3.68864,0.02552,5.70523,0.00477,0.11868,0.8411,0.93379,0.3802,0,0.02563,0.07077,2.22377,5.75792,0.06856,2.61767,0.00018,1.9305,5.86171,3.5116,4.0332,2.45632
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria,1.90738,0.02219,0.39941,0.01891,0.59752,32.10658,0.11289,0.378,0.55963,1.75073,0.00376,0.09585,1.19269,0.10191,0.61449,1.31132,0,0.99866,0.05438,0.95264,0,0.02463,1.52005,0,0.20829,0,0.28467,0.00194
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales,25.45417,62.56834,25.17174,46.33952,75.59079,30.40599,71.32173,66.43509,54.84938,39.04668,63.09121,60.79266,25.45194,67.42697,58.59954,51.37785,55.66678,75.39305,73.79621,35.20443,37.83966,50.5163,54.05907,70.24972,21.41517,61.37539,52.94362,50.39057
