sample,VatanenT_2016.metaphlan_bugs_list.stool:G69178,VatanenT_2016.metaphlan_bugs_list.stool:G69225,VatanenT_2016.metaphlan_bugs_list.stool:G78489,VatanenT_2016.metaphlan_bugs_list.stool:G78490,VatanenT_2016.metaphlan_bugs_list.stool:G78494,VatanenT_2016.metaphlan_bugs_list.stool:G78599,VatanenT_2016.metaphlan_bugs_list.stool:G78600,VatanenT_2016.metaphlan_bugs_list.stool:G78624,VatanenT_2016.metaphlan_bugs_list.stool:G78653,VatanenT_2016.metaphlan_bugs_list.stool:G78654,VatanenT_2016.metaphlan_bugs_list.stool:G78655,VatanenT_2016.metaphlan_bugs_list.stool:G78687,VatanenT_2016.metaphlan_bugs_list.stool:G78803,VatanenT_2016.metaphlan_bugs_list.stool:G78804,VatanenT_2016.metaphlan_bugs_list.stool:G78805,VatanenT_2016.metaphlan_bugs_list.stool:G78806,VatanenT_2016.metaphlan_bugs_list.stool:G78823,VatanenT_2016.metaphlan_bugs_list.stool:G78854,VatanenT_2016.metaphlan_bugs_list.stool:G78856,VatanenT_2016.metaphlan_bugs_list.stool:G78857,VatanenT_2016.metaphlan_bugs_list.stool:G78858,VatanenT_2016.metaphlan_bugs_list.stool:G78870,VatanenT_2016.metaphlan_bugs_list.stool:G78871,VatanenT_2016.metaphlan_bugs_list.stool:G80268,VatanenT_2016.metaphlan_bugs_list.stool:G80274,VatanenT_2016.metaphlan_bugs_list.stool:G80288,VatanenT_2016.metaphlan_bugs_list.stool:G80296,VatanenT_2016.metaphlan_bugs_list.stool:G80297,VatanenT_2016.metaphlan_bugs_list.stool:G80312,VatanenT_2016.metaphlan_bugs_list.stool:G80318,VatanenT_2016.metaphlan_bugs_list.stool:G80322,VatanenT_2016.metaphlan_bugs_list.stool:G80347,VatanenT_2016.metaphlan_bugs_list.stool:G80387,VatanenT_2016.metaphlan_bugs_list.stool:G80420,VatanenT_2016.metaphlan_bugs_list.stool:G80424
k__Bacteria,100,100,99.93868,100,100,100,100,100,100,100,99.95979,100,99.14618,99.91533,100,99.96464,100,99.81862,99.89226,100,99.98014,99.6212,100,98.14578,99.91443,99.97194,99.98228,93.30868,36.69272,100,99.77457,100,99.98134,99.99315,100
k__Viruses,0,0,0.06132,0,0,0,0,0,0,0,0.04021,0,0.85382,0.08467,0,0.03536,0,0.18138,0.10774,0,0.01986,0.3788,0,1.85422,0.08557,0.02806,0.01772,6.69132,63.30728,0,0.22543,0,0.01866,0.00685,0
k__Bacteria|p__Firmicutes,15.32814,54.63711,56.65036,23.10313,22.86235,8.80777,21.15651,33.61187,25.41783,20.13274,51.12079,35.29358,23.037,30.58939,19.7647,22.90812,40.93094,11.06611,25.92661,30.48177,30.04599,14.80859,15.71277,56.20852,49.4688,4.72801,23.21739,12.89416,5.5751,30.29631,44.51918,65.81895,25.75549,46.58512,29.52525
k__Bacteria|p__Proteobacteria,0.25094,4.86339,0.68956,2.51262,1.50831,6.79212,2.04221,5.4795,1.24224,0.22859,0.48683,7.12112,3.11103,1.69034,5.1794,0.6482,1.97501,5.41905,2.71758,4.63189,4.46417,7.11361,1.02341,2.11788,3.47337,1.52054,3.21655,1.61469,0.78678,0.35046,0.58043,2.18432,11.621,1.0165,0.98337
k__Bacteria|p__Verrucomicrobia,0.10914,13.76058,0.47931,0.05937,0.65564,5.78721,5.00779,2.00561,0.61881,0.05044,0.00777,0.01185,0.04119,0,0.01179,2.66914,1.51149,0.09828,1.16044,0.02516,0.00844,0.04318,1.87202,0,4.86442,5.86889,22.691,0,0.00299,2.66451,9.77496,8.95269,0.0719,0.10081,0.71597
k__Bacteria|p__Bacteroidetes,83.60373,17.5887,41.17678,72.83374,74.44837,75.03298,70.72912,55.06582,70.91823,74.46619,42.56622,52.68814,70.45967,65.6693,73.42044,72.02058,52.2885,82.65868,55.33162,49.0054,59.21607,70.95923,64.15874,32.35608,32.61618,86.73406,49.58432,76.55306,1.72205,65.00475,39.48688,18.31174,48.02402,48.87958,66.56251
k__Viruses|p__Viruses_noname,0,0,0.06132,0,0,0,0,0,0,0,0.04021,0,0.85382,0.08467,0,0.03536,0,0.18138,0.10774,0,0.01986,0.3788,0,1.85422,0.08557,0.02806,0.01772,6.69132,63.30728,0,0.22543,0,0.01866,0.00685,0
k__Bacteria|p__Actinobacteria,0.70805,9.15022,0.94268,1.49114,0.52532,3.57992,1.06437,3.8372,1.80288,5.12204,5.7782,4.88531,2.49729,1.94734,1.62367,1.7186,3.29406,0.57649,14.74484,15.83696,6.24546,6.69659,17.23306,7.4633,9.49166,1.12044,1.27301,2.24677,28.60581,1.68397,5.41313,4.7323,14.50894,3.41114,2.2129
k__Bacteria|p__Firmicutes|c__Negativicutes,0.013,0.36293,0.44709,0.48044,0.0745,0.02512,0.00449,2.22744,1.89239,0.01676,0.00289,3.5487,0.02008,0.05582,0.00832,0.05246,0.03164,0.39198,0.13728,0.98032,1.00214,1.14965,6.19564,3.75632,1.74883,0.42434,1.76205,0.2823,0.01092,0.64117,16.14952,1.03455,4.01401,1.80091,0.04106
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria,0.08064,4.85792,0.02016,2.46712,0.10185,0.15213,0.43172,0.0997,0.56374,0.08588,0.33506,2.74075,0.10219,0.51249,0.04214,0.47231,1.2139,1.08394,0.38397,1.60712,0.07956,3.65655,0.41508,0.59075,3.33838,0.5336,0.39492,1.0301,0.78678,0.0645,0.57174,2.18432,0.23639,0.15092,0.17809
