sample,VatanenT_2016.metaphlan_bugs_list.stool:G78496,VatanenT_2016.metaphlan_bugs_list.stool:G78500,VatanenT_2016.metaphlan_bugs_list.stool:G78505,VatanenT_2016.metaphlan_bugs_list.stool:G78636,VatanenT_2016.metaphlan_bugs_list.stool:G78842,VatanenT_2016.metaphlan_bugs_list.stool:G78850,VatanenT_2016.metaphlan_bugs_list.stool:G78851,VatanenT_2016.metaphlan_bugs_list.stool:G78892,VatanenT_2016.metaphlan_bugs_list.stool:G78907,VatanenT_2016.metaphlan_bugs_list.stool:G78908,VatanenT_2016.metaphlan_bugs_list.stool:G80264,VatanenT_2016.metaphlan_bugs_list.stool:G80282,VatanenT_2016.metaphlan_bugs_list.stool:G80287,VatanenT_2016.metaphlan_bugs_list.stool:G80290,VatanenT_2016.metaphlan_bugs_list.stool:G80293,VatanenT_2016.metaphlan_bugs_list.stool:G80303,VatanenT_2016.metaphlan_bugs_list.stool:G80306,VatanenT_2016.metaphlan_bugs_list.stool:G80327,VatanenT_2016.metaphlan_bugs_list.stool:G80329,VatanenT_2016.metaphlan_bugs_list.stool:G80385,VatanenT_2016.metaphlan_bugs_list.stool:G80397,VatanenT_2016.metaphlan_bugs_list.stool:G80486,VatanenT_2016.metaphlan_bugs_list.stool:G80526,VatanenT_2016.metaphlan_bugs_list.stool:G80534
k__Bacteria,98.68352,94.77945,99.79821,82.42254,99.90557,98.94382,98.28523,99.98387,99.76838,99.27071,100,99.88316,99.99286,99.70987,99.99468,100,93.3896,99.31148,100,100,87.25646,98.92891,100,99.91299
k__Viruses,0,1.0822,0.20179,17.57746,0,1.05618,1.71477,0.01613,0.23162,0.72929,0,0.11684,0.00714,0.29013,0.00532,0,6.6104,0.68852,0,0,12.74354,1.05724,0,0.08701
k__Bacteria|p__Firmicutes,80.40032,7.56687,44.4768,15.15582,39.65195,45.53231,61.52216,78.89894,64.46905,43.61491,33.65396,26.30344,30.99828,27.26264,35.81712,34.92786,17.3393,74.84089,44.63259,22.36239,24.01043,11.39683,66.08429,68.57213
k__Bacteria|p__Proteobacteria,0.32014,0.10424,23.41414,1.51148,10.17792,11.46243,0.34303,0.6806,2.52896,17.15233,3.03041,2.39008,2.88914,0.41585,0.63802,11.03574,2.80739,1.59395,0.38526,0.20561,1.12887,1.46411,0.57707,0.60956
k__Bacteria|p__Verrucomicrobia,1.01241,57.43615,18.36461,25.32844,0.17059,1.25284,0.08731,6.02242,0,0.00777,3.23918,0.29879,7.47267,3.36969,1.83578,0,0.44848,8.04726,0.00615,3.43602,0.00052,5.51958,0.00848,0.68071
k__Bacteria|p__Bacteroidetes,14.46686,29.30911,7.15841,36.01287,48.12983,32.31475,13.93634,10.41028,27.02011,13.40143,58.57632,70.81633,29.94727,68.14278,56.64731,35.07619,71.57822,0.43377,51.5092,73.28787,60.21573,79.44843,32.05493,28.15433
k__Viruses|p__Viruses_noname,0,1.0822,0.20179,17.57746,0,1.05618,1.71477,0.01613,0.23162,0.72929,0,0.11684,0.00714,0.29013,0.00532,0,6.6104,0.68852,0,0,12.74354,1.05724,0,0.08701
k__Bacteria|p__Actinobacteria,2.45251,0.36307,6.38425,4.38981,1.77527,8.3815,22.39638,3.96441,5.75026,25.09428,1.48287,0.07452,28.67639,0.5189,5.05645,18.96021,1.2162,14.3956,3.44808,0.7081,1.90092,1.09996,1.27522,1.88512
k__Bacteria|p__Firmicutes|c__Negativicutes,41.51825,0.34587,13.28136,1.21081,0.33254,5.62418,2.32171,44.69089,29.63026,0.73438,6.59933,1.81352,9.68805,2.95117,0.47284,26.45515,2.84468,6.46508,0.05893,6.55979,5.90934,1.5734,16.43242,0.53542
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria,0.19409,0.10088,23.41414,0.94165,0.09722,11.44229,0.33227,0.6806,2.52896,17.15233,2.00256,2.39008,2.65696,0.10118,0.07942,10.97012,0.03554,0.62325,0.03249,0.03334,0.17864,0.57116,0.574,0.57253
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae,1.01241,57.43615,18.36461,25.32844,0.17059,1.25284,0.08731,6.02242,0,0.00777,3.23918,0.29879,7.47267,3.36969,1.83578,0,0.44848,8.04726,0.00615,3.43602,0.00052,5.51958,0.00848,0.68071
k__Bacteria|p__Bacteroidetes|c__Bacteroidia,14.46686,29.30531,7.15841,36.01287,48.12983,32.31475,13.93634,10.41028,27.02011,13.40143,58.57632,70.81633,29.94727,68.14278,56.64731,35.07619,71.57822,0.43377,51.5092,73.28787,60.21573,79.44843,32.05493,28.15433
k__Viruses|p__Viruses_noname|c__Viruses_noname,0,1.0822,0.20179,17.57746,0,1.05618,1.71477,0.01613,0.23162,0.72929,0,0.11684,0.00714,0.29013,0.00532,0,6.6104,0.68852,0,0,12.74354,1.05724,0,0.08701
k__Bacteria|p__Actinobacteria|c__Actinobacteria,2.45251,0.36307,6.38425,4.38981,1.77527,8.3815,22.39638,3.96441,5.75026,25.09428,1.48287,0.07452,28.67639,0.5189,5.05645,18.96021,1.2162,14.3956,3.44808,0.7081,1.90092,1.09996,1.27522,1.88512
k__Bacteria|p__Firmicutes|c__Clostridia,38.54746,6.33239,30.09636,13.74961,39.30028,36.01799,51.02982,32.49955,34.21772,38.43195,26.95324,24.1457,20.68818,24.17934,35.11623,7.29365,14.27392,67.01923,7.25621,15.38177,18.00623,9.72896,48.02889,67.31354
k__Bacteria|p__Firmicutes|c__Bacilli,0.33461,0.55957,0.98372,0.18597,0.01913,3.00082,8.13737,0.56283,0.45943,4.26456,0.03876,0.25715,0.52532,0.04813,0.15216,1.17906,0.19972,0.68662,35.41188,0.00283,0.0778,0.09065,1.52533,0.23336
k__Bacteria|p__Firmicutes|c__Erysipelotrichia,0,0.32904,0.11535,0.00943,0,0.88932,0.03326,1.14567,0.16163,0.18402,0.06263,0.08706,0.09673,0.08401,0.07589,0,0.02099,0.66996,1.90555,0.418,0.01706,0.00383,0.09765,0.48981
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria,0.10917,0,0,0.01492,9.00091,0.02015,0.01076,0,0,0,0.44166,0,0.21101,0.01862,0.5586,0.06123,2.64134,0.9707,0.35277,0.03258,0.95022,0.00527,0.00307,0.03703
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales,41.51825,0.34587,13.28136,1.21081,0.33254,5.62418,2.32171,44.69089,29.63026,0.73438,6.59933,1.81352,9.68805,2.95117,0.47284,26.45515,2.84468,6.46508,0.05893,6.55979,5.90934,1.5734,16.43242,0.53542
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales,0.19409,0.10088,23.41414,0.94165,0.07329,9.67645,0.29011,0.58011,2.42951,15.25132,0.01627,1.0858,2.64264,0.0409,0.07942,9.65129,0.00933,0.62325,0.03249,0.00469,0.11057,0.56223,0.56818,0.5638
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales,1.01241,57.43615,18.36461,25.32844,0.17059,1.25284,0.08731,6.02242,0,0.00777,3.23918,0.29879,7.47267,3.36969,1.83578,0,0.44848,8.04726,0.00615,3.43602,0.00052,5.51958,0.00848,0.68071
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales,14.46686,29.30531,7.15841,36.01287,48.12983,32.31475,13.93634,10.41028,27.02011,13.40143,58.57632,70.81633,29.94727,68.14278,56.64731,35.07619,71.57822,0.43377,51.5092,73.28787,60.21573,79.44843,32.05493,28.15433
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales,0,1.0822,0.20179,17.57746,0,1.05618,1.71477,0.01613,0.22878,0.0556,0,0.11684,0.00714,0.29013,0.00532,0,0,0,0,0,12.7162,1.05724,0,0.08701
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales,2.27543,0.12338,6.37928,3.66129,1.50345,7.82615,22.18667,3.06312,4.57042,24.8627,1.48287,0.06026,24.57107,0.47351,4.33125,18.32914,0.90164,12.62062,0.11496,0.60217,1.32966,0.90528,0.36117,1.5787
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales,38.54746,6.33239,30.09636,13.74961,39.30028,36.01799,51.02982,32.49955,34.21772,38.43195,26.95324,24.1457,20.68818,24.17934,35.11623,7.29365,14.27392,67.01923,7.25621,15.38177,18.00623,9.72896,48.02889,67.31354
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales,0.33461,0.55957,0.98372,0.18597,0.01913,3.00082,8.13737,0.56283,0.45943,4.26456,0.03876,0.25715,0.52532,0.04813,0.15216,1.17906,0.19972,0.68662,35.40667,0.00283,0.0778,0.09065,1.52533,0.23336
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales,0,0,0,0,0.02393,1.76584,0.04216,0.10049,0.09945,1.90102,1.98629,1.30429,0.01432,0.06029,0,1.31883,0.01896,0,0,0.00131,0.06807,0.00893,0.00582,0.00873
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales,0,0,0,0,0,0,0,0.00213,0,0,0,0,0.0014,0,0,0,0,0,0,0,0,0,0.00077,0.032
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales,0,0.32904,0.11535,0.00943,0,0.88932,0.03326,1.14567,0.16163,0.18402,0.06263,0.08706,0.09673,0.08401,0.07589,0,0.02099,0.66996,1.90555,0.418,0.01706,0.00383,0.09765,0.48981
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00743,0,0,0,0,0,0,0,0
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae,41.51825,0.18223,13.28136,0,0.33254,5.62418,2.32171,44.69089,29.63026,0.73438,6.59933,1.81352,9.68805,2.95117,0.47284,26.45515,2.84468,6.45915,0.05893,6.55979,5.90934,0.01955,16.43242,0.53542
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae,0.19409,0.10088,23.41414,0.94165,0.07329,9.67645,0.29011,0.58011,2.42951,15.25132,0.01627,1.0858,2.64264,0.0409,0.07942,9.65129,0.00933,0.62325,0.03249,0.00469,0.11057,0.56223,0.56818,0.5638
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Verrucomicrobiaceae,1.01241,57.43615,18.36461,25.32844,0.17059,1.25284,0.08731,6.02242,0,0.00777,3.23918,0.29879,7.47267,3.36969,1.83578,0,0.44848,8.04726,0.00615,3.43602,0.00052,5.51958,0.00848,0.68071
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae,9.73758,27.59242,7.10329,16.47271,40.66564,19.11837,8.60466,2.9386,25.38126,13.29312,13.71352,70.81032,18.62403,66.93669,53.29641,31.00701,62.74439,0.33928,44.36644,9.69081,47.20192,64.65977,25.59103,14.12052
k__Viruses|p__Viruses_noname|c__Viruses_noname|o__Caudovirales|f__Siphoviridae,0,1.0822,0.20179,17.57746,0,0.82617,1.71477,0.01613,0.22878,0.0556,0,0.11684,0.00714,0.29013,0.00532,0,0,0,0,0,12.7162,1.05724,0,0.08701
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae,2.27543,0.12338,6.37928,3.66129,1.50345,7.82615,22.18667,3.06312,4.57042,24.8627,1.48287,0.06026,24.57107,0.47351,4.33125,18.32914,0.90164,12.62062,0.11496,0.60217,1.32966,0.90528,0.36117,1.5787
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae,5.37188,0.70075,4.06499,3.41504,6.07789,16.53187,19.76523,15.59304,9.85199,13.95589,3.25506,1.30852,4.24948,5.84488,1.53165,5.02958,3.07096,11.56389,3.07195,5.84841,1.67366,2.13433,7.79076,25.31206
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae,22.24116,2.31536,5.27744,9.39483,18.2452,4.70495,25.86036,5.19123,20.27461,12.34957,16.6907,10.64744,11.08728,5.71836,24.0144,1.85908,5.28694,34.70269,2.07671,6.9856,5.94586,6.74811,31.78985,14.44135
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae,10.63958,0.04328,20.56615,0.04123,14.16521,13.40775,5.26295,11.62493,3.39261,9.60295,2.90323,10.67115,2.24358,6.07578,7.60714,0.00118,4.32959,18.93804,0.03586,2.39687,9.47887,0.48207,7.91969,25.48162
