sample,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-48,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-47,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-10,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-9,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-8,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-1,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-14,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-13,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-12,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-11,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-15,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-17,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-16,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-19,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-18,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-2,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-21,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-20,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-23,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-22,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-24,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-29,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-25,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-26,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-27,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-28,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-3,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-36,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-35,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-39,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-30,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-31,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-32,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-33,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-34,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-38,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-37,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-42,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-41,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-40,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-44,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-43,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-4,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-45,YeZ_2018.metaphlan_bugs_list.stool:YEZ_N-46
k__Bacteria,99.98824,99.99943,100,99.95605,100,100,100,99.86597,100,100,99.98284,99.98966,99.94159,100,99.98074,99.91945,99.72763,100,100,99.95152,99.98889,100,99.93566,100,100,100,100,100,99.72621,99.87549,99.98515,100,99.98955,99.99537,99.98602,99.7235,100,99.89271,100,99.98411,100,100,99.99522,100,100
k__Viruses,0.01176,0,0,0.04395,0,0,0,0.13403,0,0,0.01716,0.01034,0.05841,0,0.01926,0.08055,0.27237,0,0,0.04848,0.01111,0,0.06434,0,0,0,0,0,0.27379,0.12451,0.01485,0,0.01045,0,0.01398,0.2765,0,0.10729,0,0.01589,0,0,0.00478,0,0
k__Bacteria|p__Bacteroidetes,91.73539,15.3005,78.6659,91.04639,67.03823,72.55525,42.81644,77.78864,76.80767,89.21542,86.81911,79.17177,68.96178,93.02942,62.40621,76.94363,91.54673,80.348,94.86467,81.80584,83.60624,68.52491,90.61555,55.79813,50.20788,95.46961,15.47424,53.11231,83.18627,61.03889,86.96165,78.21556,84.026,83.5351,90.51335,85.7887,86.13139,78.70528,96.83555,82.17653,64.00302,74.97506,90.05177,33.04451,70.69513
k__Bacteria|p__Proteobacteria,6.18997,77.6508,3.41615,2.6579,10.34147,22.51784,10.16227,4.31613,8.17927,0.64475,2.87083,4.65434,2.70316,0.33463,11.56259,10.41575,2.47163,10.63657,1.46092,2.15629,3.86931,2.34128,5.41102,3.69309,4.52238,1.968,75.81901,22.24952,1.67447,6.20447,1.14826,4.46814,4.66569,4.50672,8.40501,2.93813,6.54276,4.00585,1.09149,5.31438,3.61986,15.76387,2.45717,3.19425,8.88111
k__Bacteria|p__Firmicutes,1.96672,6.96228,17.80649,4.64972,19.4522,4.0134,46.89073,17.04906,14.78677,9.93597,10.22683,13.31238,22.10026,6.61724,24.95663,6.71552,5.40818,8.63634,3.58085,15.3829,12.28525,29.08769,3.79393,40.14713,43.9149,2.52985,7.98426,2.91537,13.95358,31.29755,11.8002,10.9674,11.07255,11.59588,1.04796,10.95434,6.98976,16.52734,2.07295,11.45343,31.72172,3.81572,7.28085,54.76636,14.58655
k__Bacteria|p__Actinobacteria,0.05607,0.08584,0.11147,0.00543,2.92988,0.91351,0.12844,0.58821,0.11016,0.144,0.06606,2.85118,6.17638,0.01758,0.99996,0.29977,0.2366,0.15608,0.09356,0.59835,0.22808,0.00662,0.11516,0.36165,1.35333,0.03255,0.71084,21.1965,0.90934,1.18882,0.07504,6.00E-04,0.2253,0.05527,0.0197,0.04233,0.21855,0.12665,0,1.02681,0.39924,4.76201,0.02073,0.09741,5.83363
k__Bacteria|p__Synergistetes,0.0401,0,0,0,0.12477,0,0.00212,0,0,0,0,0,0,0,0,0.03812,0,0,0,0,0,0,0,0,0,0,0,0.39636,0,0.14575,0,0.06109,0,0,0,0,0,0,0,0.00951,0,0,0,0,0
k__Viruses|p__Viruses_noname,0.01176,0,0,0.04395,0,0,0,0.13403,0,0,0.01716,0.01034,0.05841,0,0.01926,0.08055,0.27237,0,0,0.04848,0.01111,0,0.06434,0,0,0,0,0,0.27379,0.12451,0.01485,0,0.01045,0,0.01398,0.2765,0,0.10729,0,0.01589,0,0,0.00478,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia,91.73539,15.3005,78.6659,91.04639,67.03823,72.55525,42.81644,77.78864,76.80767,89.21542,86.81911,79.15484,68.96178,93.02942,62.40621,76.94363,91.54673,80.348,94.86467,81.80584,83.60624,68.51658,90.61555,55.78604,50.20788,95.46261,15.47424,53.11231,83.18627,61.03889,86.96165,78.20366,84.026,83.5351,90.51335,85.7887,86.13139,78.70528,96.83555,82.17653,64.00302,74.97506,90.05177,33.04451,70.69513
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria,5.15341,1.19689,1.50499,0.13582,0.18741,21.71551,3.53224,1.36633,0.66727,0.43207,1.12255,1.94855,0.21357,0.03529,6.00041,7.81959,1.36095,10.05503,0.34925,0.79602,1.76671,0.88875,0.19322,0.97895,0.44207,1.61923,0.26454,1.177,0.64451,0.2183,0.3549,0.13027,0.64456,1.25765,0.08691,0.04552,5.24086,0.2766,0.61627,0.08091,0.86673,1.76363,0.07587,1.10112,0.15365
