samples,BackhedF_2015.metaphlan_bugs_list.stool:SID10_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID103_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID12_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID128_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID130_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID133_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID137_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID150_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID157_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID172_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID179_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID18_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID181_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID184_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID195_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID201_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID224_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID229_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID240_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID256_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID258_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID26_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID263_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID265_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID268_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID275_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID276_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID282_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID332_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID338_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID341_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID343_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID345_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID367_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID377_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID385_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID387_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID39_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID397_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID45_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID503_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID504_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID51_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID511_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID521_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID526_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID527_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID536_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID544_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID560_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID565_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID567_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID570_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID572_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID577_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID582_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID585_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID587_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID589_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID590_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID591_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID599_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID608_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID615_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID624_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID626_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID633_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID7_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID82_12M,BackhedF_2015.metaphlan_bugs_list.stool:SID87_12M
k__Bacteria,99.92815,99.99847,99.7405,99.98913,99.96524,99.99883,100,92.49283,100,100,100,100,99.9944,99.98796,99.89105,99.97451,100,99.99839,100,99.98607,100,97.25894,100,99.99894,100,99.93336,100,100,99.9945,99.9978,100,100,99.76719,82.01123,99.98783,99.97112,100,99.99058,100,100,100,100,99.99911,99.99883,99.98238,99.99736,100,100,100,99.98466,100,100,99.93756,100,99.97111,100,99.75386,99.74337,100,100,99.82946,100,99.98705,99.96994,99.99673,100,100,99.99495,99.55791,100
k__Bacteria|p__Bacteroidetes,39.32275,44.838,64.9061,41.14602,35.2053,50.39452,40.55968,48.6626,60.28443,39.21619,43.03236,56.57294,58.14451,29.47734,1.74627,65.50825,65.56545,37.54743,37.06139,39.19224,61.90107,35.97428,59.40745,61.48395,52.80516,54.80111,44.9269,33.37876,67.72855,30.73976,66.4948,79.04878,69.90188,38.49378,64.82794,16.89048,61.15768,49.7219,46.72927,11.97659,44.69861,22.32364,54.34954,77.24416,54.52004,26.08388,77.74827,72.58667,60.1171,86.626,62.92105,52.85986,48.91357,46.89789,23.74339,51.416,39.22348,80.92816,35.66446,60.5328,37.06741,12.88196,40.46214,29.5347,47.11909,74.32813,25.02599,39.29019,55.60313,40.36435
k__Bacteria|p__Proteobacteria,0.87268,0.90809,3.80421,1.32101,20.57833,4.56435,18.37493,0.75939,9.65691,2.20272,0.74261,0.87315,3.92534,1.64616,2.3012,15.09845,3.29594,2.92216,2.0876,5.52389,6.40541,2.63289,0.65083,3.33238,2.41944,10.2407,1.95326,1.97934,2.25993,2.14823,1.62095,0.89407,1.33317,1.30806,3.47296,3.66171,0.19553,0.89377,0.93722,1.94002,0.4369,10.86865,3.24176,3.70675,36.87243,5.19447,0.56759,0.67632,1.34862,0.63886,6.71146,2.2285,1.02671,1.99313,5.69451,2.7597,6.26357,1.86804,9.16016,2.11799,0.43612,11.88028,16.67357,3.47966,1.46563,0.40487,6.08933,22.55347,0.33893,0.12964
k__Bacteria|p__Firmicutes,44.34318,53.2264,29.03292,46.36795,42.21198,30.16069,40.10718,41.2893,22.51616,50.08163,34.36624,39.70881,31.97799,67.29972,75.32147,5.42556,29.25584,54.21683,31.36517,41.22816,29.43872,29.0368,36.70955,29.64853,38.79722,29.58249,44.80583,47.97499,26.46408,62.48204,31.36455,19.4457,24.52402,29.35321,9.82201,75.12434,30.99445,35.53037,47.34278,18.45879,44.14849,59.55398,39.20065,17.73651,7.80371,55.82933,15.25043,25.91981,37.94466,11.32563,29.17508,18.08896,40.49517,47.87278,43.79881,39.6905,50.67722,11.25835,49.13619,28.7698,59.98354,68.4115,28.70221,57.55309,42.36966,17.3172,23.0387,24.72432,38.21642,38.87175
k__Bacteria|p__Actinobacteria,15.3234,1.02598,0.58068,10.50812,1.56947,13.99456,0.53441,0.10443,7.5179,5.63394,20.99992,2.8451,4.76809,1.35406,20.51999,13.94225,0.0418,5.31197,29.44781,14.03399,2.25406,6.72529,3.23216,5.53408,5.97818,4.68164,8.31401,2.98218,3.54193,4.35141,0.5197,0.61144,0.96858,12.731,21.86492,3.59668,0.53635,7.9955,4.99074,67.6246,10.716,6.32613,2.03006,0.91648,0.42415,4.45585,4.95905,0.8172,0.58962,1.39417,1.19241,26.82267,8.49231,3.23621,26.70048,2.64572,3.58519,5.68772,6.00431,8.12705,0.02133,6.75358,14.14913,9.01307,3.66772,7.9498,45.8389,13.42697,5.39944,20.63426
k__Bacteria|p__Bacteroidetes|c__Bacteroidia,39.32275,44.838,64.9061,41.14602,35.2053,50.39452,40.55968,48.6626,60.28443,39.21619,43.03236,56.57294,58.14451,29.47734,1.74627,65.50825,65.56545,37.54743,37.06139,39.19224,61.90107,35.97428,59.40745,61.48395,52.80516,54.80111,44.9269,33.37876,67.72855,30.73976,66.4948,79.04878,69.90188,38.49378,64.82794,16.89048,61.15768,49.7219,46.72927,11.97659,44.69861,22.32364,54.34954,77.24416,54.52004,26.08388,77.74827,72.58667,60.1171,86.626,62.92105,52.85986,48.91357,46.89789,23.74339,51.416,39.22348,80.92816,35.66446,60.5328,37.06741,12.88196,40.46214,29.5347,47.11909,74.32813,25.02599,39.29019,55.60313,40.36435
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria,0.58468,0.90809,3.79081,0.13456,20.5757,1.33269,18.36697,0.75939,1.19059,0.69579,0.48167,0.73084,3.92534,0.14414,2.22392,0.35489,3.02017,2.04907,0.98526,3.85667,2.83796,0.99857,0.26196,3.32244,1.40727,2.43276,0.08756,1.32847,0.02187,0.56611,0.03009,0.89407,0.20441,0.44181,1.12226,1.08147,0.10832,0.03778,0.812,1.94002,0.17878,7.79783,0.32538,1.65033,36.86176,2.84439,0.36401,0.54169,0.33386,0.36759,5.1569,1.98332,1.00657,1.7118,3.55822,2.7597,2.63315,1.61811,7.36903,1.63246,0.40766,9.23333,16.60655,2.85299,1.46563,0.37584,4.19363,2.07357,0.02584,0.03583
k__Bacteria|p__Firmicutes|c__Bacilli,0.29163,0.03323,0.26495,0.02334,0.18414,1.45398,0.1122,0.05673,0.57854,1.0026,0.17972,0.64335,0.3147,0.0446,0.772,0.61736,0.68032,1.14521,0.35892,1.37669,0.18091,0.66212,0.05047,0.46723,0.15346,0.26035,0.02231,0.07909,0.15209,0.07988,1.30809,0.66749,0.12555,0.11867,0.01753,1.0178,0.31751,0.84725,0.0664,4.91209,0.02373,6.6464,0.22619,0.11897,0.58315,1.73806,0.73529,0.04913,0.29197,0.02883,0.65101,7.06068,0.49752,0.15901,0.06878,1.8079,2.99635,0.01056,0.17031,0.86354,0.265,0.47142,0.30672,3.01533,0.0123,0.00818,0.10145,0.01329,0.69737,0.46202
k__Bacteria|p__Firmicutes|c__Clostridia,40.02104,52.44525,24.18956,41.93583,41.55753,26.23364,38.84637,33.53908,12.93986,48.56846,33.07622,38.33696,17.77058,66.7293,63.58039,1.75574,5.48312,49.52338,29.34648,26.71035,24.77975,24.63133,35.00381,25.73742,33.18692,28.49531,43.41467,32.2879,24.94819,62.14831,29.83272,17.79673,21.18968,27.59565,7.02536,64.92062,23.94147,32.92603,46.47694,11.66076,43.20708,43.84553,35.82145,17.29838,6.56132,48.08493,13.66671,25.60361,13.8728,10.89933,19.56991,5.38904,29.20398,46.6226,31.85581,33.98966,45.90264,6.92143,41.05916,24.03025,46.997,66.53783,22.55122,53.86634,37.14874,16.60999,20.76711,24.56094,32.25138,37.14052
k__Bacteria|p__Actinobacteria|c__Actinobacteria,15.3234,1.02598,0.58068,10.50812,1.56947,13.99456,0.53441,0.10443,7.5179,5.63394,20.99992,2.8451,4.76809,1.35406,20.51999,13.94225,0.0418,5.31197,29.44781,14.03399,2.25406,6.72529,3.23216,5.53408,5.97818,4.68164,8.31401,2.98218,3.54193,4.35141,0.5197,0.61144,0.96858,12.731,21.86492,3.59668,0.53635,7.9955,4.99074,67.6246,10.716,6.32613,2.03006,0.91648,0.42415,4.45585,4.95905,0.8172,0.58962,1.39417,1.19241,26.82267,8.49231,3.23621,26.70048,2.64572,3.58519,5.68772,6.00431,8.12705,0.02133,6.75358,14.14913,9.01307,3.66772,7.9498,45.8389,13.42697,5.39944,20.63426
