k__Bacteria|p__Firmicutes,k__Bacteria|p__Actinobacteria,k__Bacteria|p__Bacteroidetes,k__Archaea|p__Euryarchaeota,k__Bacteria|p__Verrucomicrobia,k__Bacteria|p__Proteobacteria,k__Viruses|p__Viruses_noname,Susciptability to SARS-CoV-2
33.65396,1.48287,58.57632,0,3.23918,3.03041,0,Low
48.08431,0.43421,45.25342,2.67492,0.57531,2.9694,0,Medium
63.24102,3.79846,15.79606,13.57102,0.02165,1.57318,1.99003,Medium
12.14594,0.05677,87.43333,0,0,0.36263,0.00132,Medium
67.29972,1.35406,29.47734,0.00825,0.21069,1.64616,0.00379,High
40.42264,7.92195,46.81557,0,0.21169,4.43533,0.16611,Medium
41.02753,1.06552,7.2388,0,0,49.68356,0,Low
41.09814,1.67987,52.7871,0,1.26836,3.15296,0.01224,Medium
9.93253,0.01375,81.89113,0,0,7.94564,0.02894,Medium
59.27833,2.6579,35.184,0.18965,0,2.69013,0,Low
40.49517,8.49231,48.91357,0,1.009,1.02671,0,High
49.03949,6.91521,24.48381,9.90775,8.85045,0.79585,0,Very High
26.80208,0.40723,42.91467,0,0,1.25144,27.43325,Medium
42.43542,13.21453,42.95348,0,0,1.35313,0,Medium
35.81712,5.05645,56.64731,0,1.83578,0.63802,0.00532,Low
85.29471,1.10605,7.15532,0,6.44391,0,0,Medium
25.42472,16.4789,51.32729,0,0,6.01419,0,Medium
12.28525,0.22808,83.60624,0,0,3.86931,0.01111,Medium
63.49825,6.3276,24.17736,4.3304,0.17014,1.49625,0,Medium
68.38725,6.82749,20.46315,3.92888,0.05726,0.33598,0,Very High
49.31778,10.15299,36.62339,0,2.02948,1.69962,0.13393,Very High
92.84615,3.08918,3.34288,0,0.00708,0.63576,0,Medium
76.83072,9.2936,8.97488,4.39486,0.15485,0.32478,0.02631,Very High
41.4657,0.7045,3.09311,0.9483,0,22.25749,0,Low
64.91616,12.90095,21.24884,0.04004,0,0.89401,0,Very High
39.09472,7.89053,48.94947,0,0,4.02835,0.03693,Medium
80.40773,7.27135,9.60837,0,0.01507,2.03515,0.00331,Medium
12.89416,2.24677,76.55306,0,0,1.61469,6.69132,Medium
13.70213,1.79296,82.88841,0,0,1.61387,0,High
60.38485,21.39679,14.58742,0,2.21418,1.41677,0,Very High
79.36116,3.28981,12.28163,1.72527,0.60658,1.89898,0.83387,Medium
35.77163,2.86419,54.32885,0,1.89522,5.14011,0,Medium
81.92882,13.85002,3.69234,0.00182,0.00501,0.52087,0,Medium
4.06706,0.22963,89.04716,0,0,6.65615,0,Medium
25.39065,0.41807,70.1393,0,3.52244,0.52856,0,Medium
1.05302,0.29679,0.0411,0.13146,0,0.39875,98.04892,Low
67.19251,0.01064,31.79814,0.34106,0.25428,0.40338,0,Very High
22.72845,2.54742,2.17597,0.88733,0.28555,62.47645,4.69789,Low
54.8714,1.35235,29.53191,0,7.69861,6.09403,0.00266,Medium
80.03306,7.21834,11.47814,0.95281,0,0.31766,0,Medium
12.96026,0.22431,85.16777,0,0.01089,1.62781,0.00895,Medium
62.77582,0.43992,33.14262,0,1.92263,1.7186,0,Medium
68.80189,22.75502,8.14545,0,0,0.2936,0,Very High
67.47535,29.79991,1.82697,0,0.00968,0.8844,0.0037,Very High
73.28175,20.37853,1.88681,0,4.12443,0.32848,0,Very High
34.97788,11.94841,50.00453,0.00164,0,3.06724,0,Medium
51.88238,11.41949,34.95755,0,0,1.72369,0.00685,Medium
80.27632,3.08844,12.6039,0,0,3.43027,0.59411,Medium
64.15787,1.5935,11.90481,0.67442,0,0.74336,0,Low
21.92445,4.71217,70.18733,0,0,3.14319,0.00862,Medium
15.85596,3.23769,53.68808,0,0,24.32949,0.88082,Medium
31.43197,6.19055,53.87364,0.00238,7.35425,1.12675,0.01717,Medium
60.32795,29.13925,10.12787,0,0,0.27775,0.12718,Very High
64.06859,5.91585,28.07806,0,0.89054,1.04697,0,Very High
82.15856,0.78011,0.52096,0,16.40237,0.08439,0.03772,Medium
22.10026,6.17638,68.96178,0,0,2.70316,0.05841,Medium
15.32814,0.70805,83.60373,0,0.10914,0.25094,0,Medium
38.86224,0.25034,59.12153,0,0,1.73082,0,Medium
31.72172,0.39924,64.00302,0,0.25616,3.61986,0,Medium
53.33157,1.05855,34.42785,0,8.97156,2.21046,0,Medium
7.56687,0.36307,29.30911,4.13835,57.43615,0.10424,1.0822,Low
56.20852,7.4633,32.35608,0,0,2.11788,1.85422,Medium
62.36661,7.07946,26.37969,0.11591,3.46381,0.59452,0,Very High
67.67463,27.49109,4.62024,0,0,0.20858,0,Very High
23.88638,0.10145,72.88682,0.00414,0.01327,3.1054,0.00177,Medium
71.93908,5.97903,21.0135,0,0.00435,1.05098,0.0065,Medium
24.52402,0.96858,69.90188,0,3.03953,1.33317,0.23281,High
65.30461,4.5337,21.25822,2.93919,4.94707,1.01721,0,Very High
62.36615,24.88764,12.59182,0,0,0.15439,0,Very High
30.12793,0.47211,66.79401,0,0,2.5908,0.00736,Medium
65.418,8.34798,24.53909,1.09379,0.07735,0.52379,0,Very High
16.03493,0.46158,80.0458,0,3.21757,0.2383,0,Medium
65.59741,3.66029,25.44441,0.00196,0.0065,5.28629,0.00315,Medium
83.11436,1.8975,12.25664,0.62363,0.19587,1.71976,0.19224,Medium
53.84089,6.63695,36.63444,0,0,2.72551,0,Medium
75.14881,7.00671,17.35494,0,0.02952,0.46001,0,Very High
78.27513,0.54812,20.99227,0,0,0.18448,0,Very High
43.89706,40.4191,15.01673,0,0.15749,0.50962,0,Very High
47.87278,3.23621,46.89789,0,0,1.99313,0,High
71.72094,0.71968,26.10697,0,0.07746,1.37204,0,Medium
77.26575,4.78643,15.71814,1.20142,0.41442,0.61384,0,Very High
58.69804,2.44126,37.17081,0,0.95426,0.73563,0,Very High
82.81833,11.46223,5.57929,0,0.00356,0.13659,0,Very High
65.62516,4.31795,28.29821,1.54386,0,0.18828,0.02653,Very High
63.92798,12.46988,19.44695,0,0.03478,4.10085,0,Medium
6.96228,0.08584,15.3005,0.00057,0,77.6508,0,Medium
65.00163,1.36798,30.58761,0,0,3.04074,0,Medium
