Sample,k__Bacteria,k__Bacteria|p__Bacteroidetes,k__Bacteria|p__Proteobacteria,k__Bacteria|p__Firmicutes,k__Bacteria|p__Actinobacteria,k__Bacteria|p__Verrucomicrobia,k__Archaea|p__Euryarchaeota,k__Viruses|p__Viruses_noname,Country,Death rate by 100000,Case-Fatalety per 100 case,Susciptability to SARS-CoV-2
ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ03H_17,99.63832,40.665,3.10263,28.85645,26.94961,0.06463,0.36168,0,Italy,58.20663275,14.41061548,Very High
ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ16H_17,99.95324,16.51434,0.32592,63.37863,19.7323,0,0.00418,0,Italy,58.20663275,14.41061548,Very High
ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ17H_17,99.9159,38.38883,2.12448,29.64032,29.76227,0,0,0,Italy,58.20663275,14.41061548,Very High
ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ18H_17,100,32.11224,1.2477,58.48559,8.15447,0,0,0,Italy,58.20663275,14.41061548,Very High
ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ21H_17,99.40064,16.82589,0.68808,77.91128,3.76583,0.20956,0.59936,0,Italy,58.20663275,14.41061548,Very High
ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ24H_17,99.99673,11.32365,32.44682,45.22979,10.99648,0,0,0,Italy,58.20663275,14.41061548,Very High
ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ34H_17,100,23.00184,0.39441,72.13962,1.67073,2.79016,0,0,Italy,58.20663275,14.41061548,Very High
ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ37H_17,100,21.85358,0.74958,71.50715,5.7318,0.15788,0,0,Italy,58.20663275,14.41061548,Very High
ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ45H_17,99.48575,19.84767,1.25804,55.9118,21.14302,1.32522,0.51425,0,Italy,58.20663275,14.41061548,Very High
ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ46H_17,100,26.98991,2.21664,65.92508,4.86678,0.00128,0,0,Italy,58.20663275,14.41061548,Very High
ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ57H_17,95.06443,7.79753,0.32434,63.2256,22.78624,0.93072,4.93557,0,Italy,58.20663275,14.41061548,Very High
ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ60H_17,100,34.90952,0.30216,63.08407,1.70424,0,0,0,Italy,58.20663275,14.41061548,Very High
ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ63H_17,100,49.16599,1.2342,39.28783,10.30278,0,0,0,Italy,58.20663275,14.41061548,Very High
ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ65H_17,99.51147,14.22098,0.37817,71.0667,13.84561,0,0.48853,0,Italy,58.20663275,14.41061548,Very High
ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ67H_17,95.81198,16.22105,1.00264,62.32897,16.25931,0,3.98831,0,Italy,58.20663275,14.41061548,Very High
ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ68H_17,100,14.58742,1.41677,60.38485,21.39679,2.21418,0,0,Italy,58.20663275,14.41061548,Very High
ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ69H_17,100,35.96968,2.68101,57.07865,2.97224,1.29842,0,0,Italy,58.20663275,14.41061548,Very High
ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ73H_17,99.92538,15.65861,0.99866,80.02846,2.89176,0.34789,0.07462,0,Italy,58.20663275,14.41061548,Very High
ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ74H_17,100,11.7106,0.75932,76.57814,10.8082,0.14374,0,0,Italy,58.20663275,14.41061548,Very High
ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ75H_17,100,19.37968,2.37352,42.89603,32.35578,2.99499,0,0,Italy,58.20663275,14.41061548,Very High
ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ77H_17,100,51.10941,3.03273,38.82686,6.91109,0.11991,0,0,Italy,58.20663275,14.41061548,Very High
ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ78H_17,100,17.56748,1.07664,70.8956,10.27444,0.18584,0,0,Italy,58.20663275,14.41061548,Very High
ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ79H_17,100,14.99033,2.02336,59.68898,23.29734,0,0,0,Italy,58.20663275,14.41061548,Very High
ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ80H_17,99.78108,13.42416,0.32297,73.54366,12.4903,0,0.21892,0,Italy,58.20663275,14.41061548,Very High
ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ81H_17,100,12.28457,1.05382,28.44606,58.21555,0,0,0,Italy,58.20663275,14.41061548,Very High
ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ82H_17,100,25.03783,0.10027,65.52952,8.10126,1.23113,0,0,Italy,58.20663275,14.41061548,Very High
ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ83H_17,99.87551,33.4187,1.00473,63.54041,1.90002,0.00273,0.12449,0,Italy,58.20663275,14.41061548,Very High
ThomasAM_2018b.metaphlan_bugs_list.stool:CRC_MR_SBJ84H_17,100,37.17081,0.73563,58.69804,2.44126,0.95426,0,0,Italy,58.20663275,14.41061548,Very High
,,,,,,,,,,,,
LiSS_2016.metaphlan_bugs_list.stool:FAT_DON_11-22-0-4,99.94029,52.61944,0.38091,45.00179,1.70557,0.23257,0,0,Netherlands,35.46214824,12.07654258,Very High
LiSS_2016.metaphlan_bugs_list.stool:FAT_DON_11-22-0-5,99.99711,30.68056,0.39189,64.54297,4.28649,0.08663,0,0,Netherlands,35.46214824,12.07654258,Very High
LiSS_2016.metaphlan_bugs_list.stool:FAT_DON_11-22-0-6,99.94252,30.28097,0.66244,65.77136,1.75949,1.46827,0,0,Netherlands,35.46214824,12.07654258,Very High
LiSS_2016.metaphlan_bugs_list.stool:FAT_DON_19-22-0-0,100,17.35494,0.46001,75.14881,7.00671,0.02952,0,0,Netherlands,35.46214824,12.07654258,Very High
LiSS_2016.metaphlan_bugs_list.stool:FAT_DON_8-22-0-0,97.25948,18.80109,0.89449,65.57562,11.7313,0.24851,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88690,100,25.56896,0.72197,67.61515,2.13103,3.96289,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88691,99.93996,13.15867,0.17016,74.50919,12.07537,0.02657,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88692,88.03481,18.91629,0.84938,42.63863,25.53171,0.0988,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88693,100,31.8355,0.38522,37.26697,30.51231,0,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88700,99.99808,20.27887,0.87195,55.09147,23.75578,0,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88701,100,5.47434,0.23031,69.46111,24.83423,0,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88703,84.58168,10.13596,0.44998,66.43159,7.40981,0.15434,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88704,96.04789,9.94221,0.09007,74.99999,10.23115,0.78447,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88705,100,30.51064,0.2939,53.46334,13.81624,1.91587,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88707,98.02753,15.43163,0.29227,42.99299,36.87582,2.42915,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88708,100,18.60716,0.89206,54.33527,26.15964,0,0,0,Netherlands,35.46214824,12.07654258,Very High
SchirmerM_2016.metaphlan_bugs_list.stool:G88709,100,17.71812,0.70587,45.14485,36.43115,0,0,0,Netherlands,35.46214824,12.07654258,Very High
